# Monthly average temperature data for Syria.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1819,1,1819.042,16.508,3.083
1819,2,1819.125,17.885,2.048
1819,3,1819.208,17.698,7.418
1819,5,1819.375,17.158,2.722
1819,6,1819.458,16.175,2.103
1819,7,1819.542,16.214,1.741
1819,8,1819.625,16.629,1.943
1820,3,1820.208,18.447,2.139
1820,5,1820.375,17.787,2.375
1820,7,1820.542,17.473,1.966
1820,8,1820.625,16.885,2.410
1820,10,1820.792,14.646,3.253
1820,11,1820.875,17.717,2.257
1821,2,1821.125,19.008,4.021
1821,3,1821.208,19.473,3.169
1821,6,1821.458,16.079,3.199
1821,7,1821.542,16.082,3.009
1821,8,1821.625,16.456,1.924
1821,11,1821.875,17.127,2.379
1821,12,1821.958,17.880,2.242
1839,12,1839.958,16.411,2.178
1840,1,1840.042,17.163,2.089
1840,2,1840.125,16.658,2.011
1840,3,1840.208,16.037,2.372
1840,4,1840.292,15.652,1.860
1840,5,1840.375,17.416,1.853
1840,6,1840.458,16.964,1.843
1840,7,1840.542,19.607,1.843
1840,8,1840.625,17.635,1.875
1840,9,1840.708,17.624,1.767
1840,10,1840.792,17.458,1.748
1840,11,1840.875,17.828,1.915
1840,12,1840.958,15.707,2.047
1841,1,1841.042,17.016,2.238
1841,2,1841.125,17.172,2.392
1841,3,1841.208,15.192,2.073
1841,4,1841.292,16.874,2.828
1841,5,1841.375,17.071,1.995
1841,6,1841.458,17.759,1.869
1843,1,1843.042,18.857,1.443
1843,2,1843.125,20.331,1.816
1843,3,1843.208,18.119,1.353
1843,4,1843.292,17.304,1.352
1843,5,1843.375,16.484,1.474
1843,6,1843.458,16.769,1.100
1843,7,1843.542,17.711,1.053
1843,8,1843.625,17.144,1.095
1843,9,1843.708,16.417,1.211
1843,10,1843.792,17.804,1.777
1843,11,1843.875,16.943,1.306
1843,12,1843.958,16.367,2.259
1844,1,1844.042,17.593,1.826
1844,2,1844.125,18.842,1.255
1844,3,1844.208,18.550,1.869
1844,4,1844.292,15.695,1.842
1844,5,1844.375,16.815,1.746
1844,6,1844.458,17.087,1.680
1844,7,1844.542,18.420,1.479
1844,8,1844.625,17.806,1.617
1844,9,1844.708,17.408,1.632
1844,10,1844.792,17.179,1.492
1844,11,1844.875,17.302,1.101
1844,12,1844.958,15.816,1.738
1845,1,1845.042,15.776,1.838
1845,2,1845.125,17.820,2.557
1845,3,1845.208,19.107,1.074
1845,4,1845.292,17.656,1.677
1845,5,1845.375,17.834,1.311
1845,6,1845.458,17.644,1.697
1845,7,1845.542,18.562,1.623
1845,8,1845.625,18.204,1.688
1845,9,1845.708,16.723,1.960
1845,10,1845.792,17.511,1.968
1845,11,1845.875,16.726,1.827
1845,12,1845.958,17.536,2.391
1846,1,1846.042,19.087,3.999
1846,2,1846.125,18.355,2.234
1846,3,1846.208,18.504,1.591
1846,4,1846.292,18.125,2.336
1846,5,1846.375,18.022,1.663
1846,6,1846.458,17.106,2.252
1846,7,1846.542,18.479,1.984
1846,8,1846.625,18.723,1.620
1846,9,1846.708,18.674,1.662
1846,10,1846.792,18.364,2.427
1846,11,1846.875,15.580,2.085
1846,12,1846.958,20.068,1.859
1847,1,1847.042,17.215,1.984
1847,2,1847.125,19.271,2.165
1847,3,1847.208,17.366,2.206
1847,4,1847.292,18.658,1.657
1847,5,1847.375,18.188,1.655
1847,6,1847.458,18.463,1.914
1847,7,1847.542,19.340,1.827
1847,8,1847.625,18.089,1.773
1847,9,1847.708,19.042,1.935
1847,10,1847.792,17.375,1.731
1847,11,1847.875,17.316,2.037
1847,12,1847.958,15.221,2.376
1848,1,1848.042,16.814,2.039
1848,2,1848.125,17.341,2.521
1848,3,1848.208,17.960,1.522
1848,4,1848.292,17.897,1.963
1848,5,1848.375,17.903,2.115
1848,6,1848.458,19.282,1.534
1848,7,1848.542,18.804,1.702
1848,8,1848.625,18.581,1.705
1848,9,1848.708,17.242,1.624
1848,10,1848.792,18.405,1.547
1848,11,1848.875,18.685,1.847
1848,12,1848.958,15.759,2.140
1849,1,1849.042,16.838,1.939
1849,2,1849.125,16.856,2.490
1849,3,1849.208,17.257,2.109
1849,4,1849.292,18.292,2.174
1849,5,1849.375,18.171,1.572
1849,6,1849.458,18.093,1.855
1849,7,1849.542,17.802,1.760
1849,8,1849.625,17.986,1.511
1849,9,1849.708,18.031,1.917
1849,10,1849.792,18.135,1.684
1849,11,1849.875,18.294,2.437
1849,12,1849.958,18.233,2.078
1850,1,1850.042,17.297,1.590
1850,2,1850.125,16.918,2.509
1850,3,1850.208,16.711,1.963
1850,4,1850.292,16.595,1.806
1850,5,1850.375,16.365,1.528
1850,6,1850.458,17.534,2.093
1850,7,1850.542,18.568,1.578
1850,8,1850.625,18.256,1.810
1850,9,1850.708,17.490,1.529
1850,10,1850.792,18.334,1.739
1850,11,1850.875,16.974,2.495
1850,12,1850.958,16.493,1.916
1851,1,1851.042,17.628,1.736
1851,2,1851.125,17.258,2.217
1851,3,1851.208,18.152,1.505
1851,4,1851.292,17.899,1.678
1851,5,1851.375,20.750,2.020
1851,6,1851.458,18.095,1.590
1851,7,1851.542,18.495,1.701
1851,8,1851.625,19.077,1.793
1851,9,1851.708,18.226,1.553
1851,10,1851.792,17.995,1.866
1851,11,1851.875,18.442,2.234
1851,12,1851.958,16.312,2.151
1852,1,1852.042,17.413,1.823
1852,2,1852.125,17.664,1.653
1852,3,1852.208,16.672,1.675
1852,4,1852.292,16.869,1.797
1852,5,1852.375,17.833,1.794
1852,6,1852.458,18.094,1.573
1852,7,1852.542,18.091,1.443
1852,8,1852.625,17.906,1.538
1852,9,1852.708,17.826,1.430
1852,10,1852.792,19.099,1.742
1852,11,1852.875,18.533,1.946
1852,12,1852.958,18.340,1.644
1853,1,1853.042,18.015,1.613
1853,2,1853.125,18.800,2.043
1853,3,1853.208,19.186,1.934
1853,4,1853.292,18.118,1.406
1853,5,1853.375,18.176,1.672
1853,6,1853.458,18.562,1.616
1853,7,1853.542,18.616,1.668
1853,8,1853.625,18.897,1.615
1853,9,1853.708,18.044,1.434
1853,10,1853.792,18.881,1.791
1853,11,1853.875,17.312,1.538
1853,12,1853.958,17.974,1.460
1854,1,1854.042,17.990,1.714
1854,2,1854.125,16.523,1.542
1854,3,1854.208,15.776,1.571
1854,4,1854.292,15.462,1.645
1854,5,1854.375,17.918,1.731
1854,6,1854.458,17.296,1.805
1854,7,1854.542,17.627,1.775
1854,8,1854.625,17.299,1.735
1854,9,1854.708,17.018,1.578
1854,10,1854.792,19.277,1.793
1854,11,1854.875,18.656,1.893
1854,12,1854.958,19.107,2.742
1855,1,1855.042,17.192,2.052
1855,2,1855.125,18.800,2.342
1855,3,1855.208,19.542,1.545
1855,4,1855.292,17.749,2.164
1855,5,1855.375,19.088,1.501
1855,6,1855.458,18.801,1.983
1855,7,1855.542,18.151,1.468
1855,8,1855.625,18.029,1.540
1855,9,1855.708,16.134,1.746
1855,10,1855.792,17.742,1.945
1855,11,1855.875,17.621,1.598
1855,12,1855.958,17.656,2.043
1856,1,1856.042,18.018,1.622
1856,2,1856.125,17.444,2.027
1856,3,1856.208,15.250,2.219
1856,4,1856.292,16.556,1.703
1856,5,1856.375,17.893,1.595
1856,6,1856.458,18.965,2.028
1856,7,1856.542,18.208,1.748
1856,8,1856.625,18.604,1.847
1856,9,1856.708,18.209,1.730
1856,10,1856.792,16.635,1.680
1856,11,1856.875,16.876,1.679
1856,12,1856.958,18.597,1.765
1857,1,1857.042,19.742,1.516
1857,2,1857.125,16.017,1.615
1857,3,1857.208,16.288,1.812
1857,4,1857.292,17.304,1.596
1857,5,1857.375,17.547,1.398
1857,6,1857.458,17.476,1.620
1857,7,1857.542,17.533,1.534
1857,8,1857.625,17.204,1.495
1857,9,1857.708,16.924,1.613
1857,10,1857.792,17.346,1.548
1857,11,1857.875,16.730,1.540
1857,12,1857.958,16.328,1.661
1858,1,1858.042,15.478,2.067
1858,2,1858.125,15.432,1.485
1858,3,1858.208,17.899,1.416
1858,4,1858.292,17.417,1.630
1858,5,1858.375,18.368,1.475
1858,6,1858.458,18.706,2.186
1858,7,1858.542,18.739,1.532
1858,8,1858.625,18.368,1.629
1858,9,1858.708,17.154,1.502
1858,10,1858.792,18.733,1.581
1858,11,1858.875,19.941,1.806
1858,12,1858.958,17.787,1.483
1859,1,1859.042,15.495,1.788
1859,2,1859.125,16.138,2.108
1859,3,1859.208,18.031,1.517
1859,4,1859.292,18.775,1.642
1859,5,1859.375,19.612,2.066
1859,6,1859.458,17.996,1.603
1859,7,1859.542,17.675,1.426
1859,8,1859.625,18.727,1.705
1859,9,1859.708,19.379,1.473
1859,10,1859.792,18.236,1.485
1859,11,1859.875,17.748,1.406
1859,12,1859.958,18.533,2.105
1860,1,1860.042,17.806,1.744
1860,2,1860.125,17.860,1.401
1860,3,1860.208,16.237,2.064
1860,4,1860.292,18.825,2.185
1860,5,1860.375,18.150,1.741
1860,6,1860.458,19.836,1.442
1860,7,1860.542,19.275,1.692
1860,8,1860.625,19.011,1.490
1860,9,1860.708,18.990,1.583
1860,10,1860.792,18.079,1.749
1860,11,1860.875,17.287,1.456
1860,12,1860.958,18.331,1.651
1861,1,1861.042,16.614,1.921
1861,2,1861.125,16.119,1.531
1861,3,1861.208,17.666,2.129
1861,4,1861.292,16.900,1.737
1861,5,1861.375,16.338,1.089
1861,6,1861.458,18.176,1.461
1861,7,1861.542,18.231,1.290
1861,8,1861.625,17.880,0.833
1861,9,1861.708,17.392,0.824
1861,10,1861.792,16.974,0.781
1861,11,1861.875,19.193,1.040
1861,12,1861.958,16.319,1.714
1862,1,1862.042,16.777,2.157
1862,2,1862.125,16.401,1.224
1862,3,1862.208,18.401,1.700
1862,4,1862.292,18.508,2.068
1862,5,1862.375,18.760,0.917
1862,6,1862.458,19.934,1.331
1862,7,1862.542,18.523,1.072
1862,8,1862.625,17.162,0.872
1862,9,1862.708,16.079,0.904
1862,10,1862.792,14.937,0.932
