# Monthly average temperature data for Taiwan.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1847,1,1847.042,22.329,1.969
1847,2,1847.125,21.761,2.123
1847,3,1847.208,21.633,2.542
1847,4,1847.292,21.833,1.627
1847,5,1847.375,21.113,1.422
1847,6,1847.458,21.317,1.479
1847,7,1847.542,21.892,1.660
1847,8,1847.625,21.358,1.828
1847,9,1847.708,21.770,1.346
1847,10,1847.792,21.388,1.264
1847,11,1847.875,22.241,1.378
1847,12,1847.958,21.050,1.827
1848,1,1848.042,21.046,1.734
1848,2,1848.125,21.869,1.944
1848,3,1848.208,21.422,1.293
1848,4,1848.292,20.942,1.554
1848,5,1848.375,22.107,1.644
1848,6,1848.458,21.399,1.729
1848,7,1848.542,21.471,1.673
1848,8,1848.625,20.844,1.613
1848,9,1848.708,20.920,1.274
1848,10,1848.792,21.696,1.292
1848,11,1848.875,19.997,1.629
1848,12,1848.958,20.881,1.838
1849,1,1849.042,21.482,1.909
1849,2,1849.125,23.011,1.907
1849,3,1849.208,22.133,1.447
1849,4,1849.292,20.579,1.429
1849,5,1849.375,21.121,1.593
1849,6,1849.458,21.072,1.688
1849,7,1849.542,21.168,1.530
1849,8,1849.625,21.825,1.409
1849,9,1849.708,21.325,1.291
1849,10,1849.792,21.839,1.372
1849,11,1849.875,20.922,1.899
1849,12,1849.958,20.833,1.387
1850,1,1850.042,21.214,1.832
1850,2,1850.125,21.806,1.758
1850,3,1850.208,22.087,1.518
1850,4,1850.292,20.994,1.671
1850,5,1850.375,21.449,1.862
1850,6,1850.458,21.883,1.561
1850,7,1850.542,21.680,1.325
1850,8,1850.625,22.288,1.805
1850,9,1850.708,21.166,1.284
1850,10,1850.792,21.763,2.040
1850,11,1850.875,21.178,2.538
1850,12,1850.958,21.652,2.276
1851,1,1851.042,22.746,1.493
1851,2,1851.125,21.885,1.600
1851,3,1851.208,21.275,1.593
1851,4,1851.292,20.585,1.638
1851,5,1851.375,21.509,1.433
1851,6,1851.458,21.205,1.647
1851,7,1851.542,21.872,1.254
1851,8,1851.625,21.889,1.321
1851,9,1851.708,20.886,1.360
1851,10,1851.792,21.351,2.147
1851,11,1851.875,22.280,2.036
1851,12,1851.958,21.872,2.217
1852,1,1852.042,22.329,1.830
1852,2,1852.125,21.261,1.925
1852,3,1852.208,20.547,1.524
1852,4,1852.292,20.844,1.594
1852,5,1852.375,22.119,1.668
1852,6,1852.458,22.376,1.630
1852,7,1852.542,22.699,1.436
1852,8,1852.625,21.501,1.435
1852,9,1852.708,21.142,1.259
1852,10,1852.792,22.034,1.307
1852,11,1852.875,21.430,2.280
1852,12,1852.958,21.283,1.560
1853,1,1853.042,21.488,1.668
1853,2,1853.125,20.805,2.417
1853,3,1853.208,22.791,1.822
1853,4,1853.292,22.588,1.234
1853,5,1853.375,22.565,1.181
1853,6,1853.458,22.647,1.168
1853,7,1853.542,22.715,1.289
1853,8,1853.625,22.259,1.044
1853,9,1853.708,21.913,0.925
1853,10,1853.792,21.763,1.194
1853,11,1853.875,22.624,1.192
1853,12,1853.958,21.166,1.106
1854,1,1854.042,22.597,2.175
1854,2,1854.125,21.746,0.925
1854,3,1854.208,22.075,1.086
1854,4,1854.292,20.884,1.374
1854,5,1854.375,22.548,0.821
1854,6,1854.458,22.169,0.994
1854,7,1854.542,22.807,1.338
1854,8,1854.625,22.611,0.905
1854,9,1854.708,21.056,0.876
1854,10,1854.792,21.122,0.989
1854,11,1854.875,21.169,1.316
1854,12,1854.958,21.466,2.973
1855,1,1855.042,20.638,1.624
1855,2,1855.125,21.659,2.037
1855,3,1855.208,21.661,0.985
1855,4,1855.292,21.917,1.381
1855,5,1855.375,22.490,1.013
1855,6,1855.458,21.412,1.204
1855,7,1855.542,21.713,0.993
1855,8,1855.625,21.644,0.887
1855,9,1855.708,21.016,1.067
1855,10,1855.792,20.860,1.666
1855,11,1855.875,21.191,1.066
1855,12,1855.958,21.491,1.967
1856,1,1856.042,20.353,1.566
1856,2,1856.125,20.851,2.055
1856,3,1856.208,21.176,1.230
1856,4,1856.292,21.083,0.890
1856,5,1856.375,21.744,1.467
1856,6,1856.458,21.573,1.450
1856,7,1856.542,21.487,1.957
1856,8,1856.625,21.621,1.634
1856,9,1856.708,21.852,1.378
1856,10,1856.792,20.870,1.225
1856,11,1856.875,20.531,1.357
1856,12,1856.958,20.975,1.457
1857,1,1857.042,21.785,1.284
1857,2,1857.125,22.624,1.345
1857,3,1857.208,22.086,1.193
1857,4,1857.292,21.561,1.544
1857,5,1857.375,21.236,1.085
1857,6,1857.458,21.670,1.633
1857,7,1857.542,22.034,1.221
1857,8,1857.625,21.047,1.218
1857,9,1857.708,20.731,1.111
1857,10,1857.792,21.289,1.323
1857,11,1857.875,21.325,1.457
1857,12,1857.958,22.271,1.322
1858,1,1858.042,22.049,1.435
1858,2,1858.125,20.996,1.133
1858,3,1858.208,21.162,0.944
1858,4,1858.292,21.140,1.399
1858,5,1858.375,21.075,1.077
1858,6,1858.458,22.022,1.253
1858,7,1858.542,21.371,1.316
1858,8,1858.625,20.834,1.619
1858,9,1858.708,21.330,1.336
1858,10,1858.792,21.857,0.904
1858,11,1858.875,21.498,1.112
1858,12,1858.958,22.209,1.051
1859,1,1859.042,21.524,1.164
1859,2,1859.125,21.665,1.274
1859,3,1859.208,20.201,0.960
1859,4,1859.292,22.224,1.309
1859,5,1859.375,22.589,1.115
1859,6,1859.458,22.934,1.074
1859,7,1859.542,21.522,1.070
1859,8,1859.625,22.086,0.986
1859,9,1859.708,21.257,0.951
1859,10,1859.792,22.260,1.134
1859,11,1859.875,20.975,1.245
1859,12,1859.958,20.869,1.711
1860,1,1860.042,21.773,1.275
1860,2,1860.125,22.420,1.138
1860,3,1860.208,21.491,2.046
1860,4,1860.292,21.017,1.034
1860,5,1860.375,21.076,1.419
1860,6,1860.458,21.955,0.968
1860,7,1860.542,21.430,1.202
1860,8,1860.625,22.159,1.088
1860,9,1860.708,21.215,1.314
1860,10,1860.792,21.712,1.520
1860,11,1860.875,20.806,1.277
1860,12,1860.958,21.998,1.587
1861,1,1861.042,21.570,2.114
1861,2,1861.125,20.382,1.293
1861,3,1861.208,20.697,1.513
1861,4,1861.292,21.139,1.478
1861,5,1861.375,21.092,1.310
1861,6,1861.458,21.780,0.987
1861,7,1861.542,21.729,1.322
1861,8,1861.625,22.606,1.173
1861,9,1861.708,20.939,1.170
1861,10,1861.792,21.672,1.000
1861,11,1861.875,21.931,0.988
1861,12,1861.958,21.371,1.636
1862,1,1862.042,19.566,2.149
1862,2,1862.125,19.690,1.502
1862,3,1862.208,19.977,1.357
1862,4,1862.292,20.848,1.745
1862,5,1862.375,21.716,1.343
1862,6,1862.458,21.734,1.588
1862,7,1862.542,21.842,1.435
1862,8,1862.625,20.684,1.946
1862,9,1862.708,21.149,1.304
1862,10,1862.792,20.991,1.329
1862,11,1862.875,20.003,1.861
1862,12,1862.958,19.726,1.826
1863,1,1863.042,22.141,1.457
1863,2,1863.125,22.600,2.404
1863,3,1863.208,21.281,1.484
1863,4,1863.292,20.535,2.028
1863,5,1863.375,21.150,1.884
1863,6,1863.458,21.667,1.405
1863,7,1863.542,22.493,1.862
1863,8,1863.625,21.313,1.487
1863,9,1863.708,20.750,1.372
1863,10,1863.792,20.534,1.521
1863,11,1863.875,20.459,2.120
1863,12,1863.958,20.480,2.404
1864,1,1864.042,19.980,2.235
1864,2,1864.125,20.290,2.441
1864,3,1864.208,20.030,2.238
1864,4,1864.292,21.004,1.753
1864,5,1864.375,21.323,1.631
1864,6,1864.458,21.897,1.419
1864,7,1864.542,21.908,1.567
1864,8,1864.625,21.558,1.502
1864,9,1864.708,21.073,1.251
1864,10,1864.792,22.386,1.630
1864,11,1864.875,20.919,1.292
1864,12,1864.958,20.827,1.188
1865,1,1865.042,23.763,1.428
1865,2,1865.125,23.531,1.497
1865,3,1865.208,21.811,1.437
1865,4,1865.292,22.264,1.196
1865,5,1865.375,22.115,1.126
1865,6,1865.458,22.622,1.267
1865,8,1865.625,22.906,1.451
1865,9,1865.708,22.227,1.430
1865,10,1865.792,22.021,1.113
1865,11,1865.875,21.528,1.107
1865,12,1865.958,21.009,1.331
1866,1,1866.042,22.721,1.338
1866,2,1866.125,22.099,2.007
1866,3,1866.208,21.493,1.761
1866,4,1866.292,20.323,1.737
1866,5,1866.375,22.804,1.545
1866,6,1866.458,21.059,1.432
1866,7,1866.542,22.587,1.201
1866,8,1866.625,23.557,2.241
1866,9,1866.708,21.690,1.386
1866,10,1866.792,21.777,1.126
1866,11,1866.875,21.330,1.089
1866,12,1866.958,21.574,0.920
1867,1,1867.042,21.788,1.465
1867,2,1867.125,22.621,1.660
1867,3,1867.208,22.844,1.507
1867,4,1867.292,22.453,1.602
1867,5,1867.375,21.785,1.346
1867,6,1867.458,23.345,1.435
1867,8,1867.625,22.344,1.066
1867,9,1867.708,22.183,1.552
1867,10,1867.792,23.085,1.317
1867,11,1867.875,21.158,1.631
1867,12,1867.958,22.027,2.096
1868,1,1868.042,22.880,1.574
1868,2,1868.125,23.024,1.671
1868,3,1868.208,21.707,1.631
1868,4,1868.292,22.008,1.838
1868,5,1868.375,22.115,1.319
1868,6,1868.458,21.927,1.308
1868,7,1868.542,22.382,1.261
1868,8,1868.625,22.504,1.182
1868,9,1868.708,22.228,1.551
1868,10,1868.792,22.902,1.682
1868,11,1868.875,22.330,1.279
1868,12,1868.958,22.259,2.127
1869,1,1869.042,22.612,1.836
1869,2,1869.125,22.715,1.920
1869,3,1869.208,21.668,1.855
1869,4,1869.292,21.259,1.323
1869,5,1869.375,22.510,1.383
1869,6,1869.458,22.943,1.426
1869,7,1869.542,23.101,1.682
1869,8,1869.625,22.966,1.609
1869,9,1869.708,22.651,1.389
1869,10,1869.792,22.310,1.155
1869,11,1869.875,20.765,1.211
1869,12,1869.958,22.028,1.466
1870,1,1870.042,22.298,1.323
1870,2,1870.125,21.633,1.715
1870,3,1870.208,23.017,1.608
1870,4,1870.292,23.433,1.979
1870,5,1870.375,22.382,1.408
1870,6,1870.458,23.782,2.769
1870,7,1870.542,23.243,1.531
1870,8,1870.625,22.561,1.567
1870,9,1870.708,21.762,1.103
1870,10,1870.792,22.647,1.255
1870,11,1870.875,21.216,1.319
1870,12,1870.958,21.548,1.266
1871,1,1871.042,22.734,1.189
1871,2,1871.125,21.926,1.822
1871,3,1871.208,22.377,1.924
1871,4,1871.292,23.423,2.023
1871,5,1871.375,23.349,1.626
1871,6,1871.458,22.679,1.425
1871,7,1871.542,22.805,1.263
1871,8,1871.625,22.848,1.257
1871,9,1871.708,22.113,1.351
1871,10,1871.792,22.427,1.207
1871,11,1871.875,20.861,1.398
1871,12,1871.958,19.509,1.066
1872,1,1872.042,21.674,1.089
1872,2,1872.125,19.703,1.389
1872,3,1872.208,21.874,1.151
1872,4,1872.292,23.583,2.051
1872,5,1872.375,23.075,1.640
1872,6,1872.458,22.387,1.497
1872,7,1872.542,23.391,1.078
1872,8,1872.625,23.381,1.302
1872,9,1872.708,22.229,1.313
1872,10,1872.792,22.186,1.103
1872,11,1872.875,21.724,1.164
1872,12,1872.958,22.768,1.440
1873,1,1873.042,21.022,1.457
1873,2,1873.125,21.814,1.471
1873,3,1873.208,21.389,1.174
1873,4,1873.292,22.011,1.755
