# Monthly average temperature data for Tajikistan.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1848,1,1848.042,-0.249,2.430
1848,2,1848.125,2.841,2.115
1848,3,1848.208,2.329,1.870
1848,4,1848.292,2.881,1.975
1848,5,1848.375,3.182,1.994
1848,6,1848.458,3.073,2.176
1848,7,1848.542,4.041,1.951
1848,8,1848.625,3.517,1.948
1848,9,1848.708,2.358,1.829
1848,10,1848.792,2.599,1.838
1848,11,1848.875,2.265,1.894
1848,12,1848.958,1.626,2.168
1849,1,1849.042,4.320,2.740
1849,2,1849.125,3.042,2.086
1849,3,1849.208,4.092,2.125
1849,4,1849.292,2.199,2.483
1849,5,1849.375,2.606,1.951
1849,6,1849.458,2.885,1.910
1849,7,1849.542,3.996,1.981
1849,8,1849.625,3.765,2.020
1849,9,1849.708,2.035,1.793
1849,10,1849.792,3.303,1.898
1849,11,1849.875,2.184,2.025
1849,12,1849.958,1.439,1.930
1850,1,1850.042,0.564,2.344
1850,2,1850.125,3.454,2.678
1850,3,1850.208,4.371,2.517
1850,4,1850.292,2.491,1.872
1850,5,1850.375,2.496,1.749
1850,6,1850.458,2.785,1.841
1850,7,1850.542,4.194,1.823
1850,8,1850.625,3.490,1.802
1850,9,1850.708,3.326,1.835
1850,10,1850.792,1.556,1.875
1850,11,1850.875,3.099,1.968
1850,12,1850.958,3.630,2.016
1851,1,1851.042,2.675,1.960
1851,2,1851.125,3.489,1.938
1851,3,1851.208,2.603,2.075
1851,4,1851.292,1.149,2.085
1851,5,1851.375,3.924,1.959
1851,6,1851.458,4.315,1.843
1851,7,1851.542,3.488,1.710
1851,8,1851.625,3.667,1.663
1851,9,1851.708,3.238,1.907
1851,10,1851.792,3.082,2.028
1851,11,1851.875,2.175,1.877
1851,12,1851.958,3.834,2.026
1852,1,1852.042,3.094,2.011
1852,2,1852.125,2.017,2.131
1852,3,1852.208,1.828,1.953
1852,4,1852.292,2.938,2.264
1852,5,1852.375,4.261,1.995
1852,6,1852.458,3.090,1.984
1852,7,1852.542,3.909,1.897
1852,8,1852.625,3.472,1.953
1852,9,1852.708,3.301,1.860
1852,10,1852.792,3.660,1.926
1852,11,1852.875,1.764,2.231
1852,12,1852.958,3.738,2.274
1875,1,1875.042,3.704,1.089
1875,2,1875.125,3.016,2.102
1875,3,1875.208,5.472,1.892
1875,4,1875.292,4.748,1.661
1875,5,1875.375,3.380,1.289
1875,6,1875.458,3.568,1.525
1875,7,1875.542,4.178,1.025
1875,8,1875.625,2.682,2.328
1875,9,1875.708,2.568,2.392
1875,10,1875.792,2.270,1.311
1875,11,1875.875,4.316,2.229
1875,12,1875.958,4.900,1.894
1876,1,1876.042,5.042,4.695
1876,2,1876.125,1.834,1.496
1876,3,1876.208,3.420,3.220
1876,4,1876.292,1.987,1.380
1876,5,1876.375,4.003,1.044
1876,6,1876.458,3.658,1.238
1876,7,1876.542,3.831,1.045
1876,8,1876.625,3.899,1.297
1876,9,1876.708,3.586,0.972
1876,10,1876.792,2.383,1.265
1876,11,1876.875,1.711,1.237
1876,12,1876.958,3.194,1.057
1877,1,1877.042,2.071,1.438
1877,2,1877.125,2.140,3.289
1877,3,1877.208,4.918,1.049
1877,4,1877.292,2.796,1.984
1877,5,1877.375,4.347,3.239
1877,6,1877.458,3.193,1.496
1877,7,1877.542,4.429,0.893
1877,8,1877.625,4.650,1.470
1877,9,1877.708,5.755,2.186
1877,10,1877.792,3.108,1.053
1877,11,1877.875,2.587,2.240
1877,12,1877.958,-2.433,4.481
1878,1,1878.042,0.739,1.765
1878,2,1878.125,3.241,1.475
1878,3,1878.208,4.980,0.921
1878,4,1878.292,2.325,1.026
1878,5,1878.375,2.737,1.139
1878,6,1878.458,3.941,1.108
1878,7,1878.542,5.133,2.076
1878,8,1878.625,4.801,2.176
