# Monthly average temperature data for Tanzania.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1850,1,1850.042,21.261,1.514
1850,2,1850.125,21.924,1.605
1850,3,1850.208,21.914,1.099
1850,4,1850.292,21.385,1.339
1850,5,1850.375,20.944,1.070
1850,6,1850.458,22.002,0.879
1850,7,1850.542,22.100,0.831
1850,8,1850.625,22.023,0.868
1850,9,1850.708,21.528,0.720
1850,10,1850.792,21.181,1.098
1850,11,1850.875,20.855,1.225
1859,1,1859.042,22.787,1.987
1859,2,1859.125,21.982,1.148
1859,3,1859.208,22.567,1.498
1859,4,1859.292,21.468,1.817
1859,7,1859.542,21.559,0.813
1859,8,1859.625,21.064,0.920
1859,9,1859.708,21.002,0.773
1859,10,1859.792,21.684,0.869
1859,11,1859.875,21.646,1.118
1859,12,1859.958,22.067,1.676
1864,1,1864.042,21.422,1.340
1864,2,1864.125,21.752,0.997
1864,3,1864.208,21.080,1.424
1864,4,1864.292,21.298,0.706
1864,5,1864.375,21.964,0.628
1864,6,1864.458,22.151,0.656
1864,7,1864.542,21.724,0.962
1864,8,1864.625,21.525,0.923
1864,9,1864.708,21.854,0.984
1864,10,1864.792,21.303,1.065
1864,11,1864.875,21.848,1.258
1864,12,1864.958,21.432,1.109
1875,5,1875.375,21.643,0.636
1875,6,1875.458,22.214,0.659
1875,7,1875.542,21.988,0.672
1875,8,1875.625,22.009,0.793
1875,9,1875.708,22.157,1.203
1875,10,1875.792,21.903,0.979
1875,11,1875.875,21.184,1.326
1875,12,1875.958,21.440,0.868
1876,1,1876.042,21.426,0.907
1876,2,1876.125,21.440,0.771
1876,3,1876.208,21.508,0.614
1876,4,1876.292,21.504,1.361
1876,5,1876.375,21.454,0.756
1876,6,1876.458,21.800,0.680
1876,7,1876.542,22.100,0.751
1876,8,1876.625,21.804,0.656
1876,9,1876.708,21.686,0.660
1876,10,1876.792,21.736,0.654
1876,11,1876.875,21.541,1.049
1876,12,1876.958,21.201,0.811
1877,1,1877.042,21.969,0.742
1877,2,1877.125,21.894,0.770
1877,3,1877.208,22.097,0.735
1877,4,1877.292,21.928,0.660
1877,5,1877.375,22.128,0.656
1877,6,1877.458,22.473,0.947
1877,7,1877.542,22.689,0.707
1877,8,1877.625,22.665,0.685
1877,9,1877.708,22.708,0.950
1877,10,1877.792,22.278,0.606
1877,11,1877.875,21.941,1.099
1877,12,1877.958,21.583,0.920
1878,1,1878.042,21.814,0.806
1878,2,1878.125,22.326,1.683
1878,3,1878.208,22.898,1.593
1878,4,1878.292,22.365,1.260
1878,5,1878.375,22.204,0.817
1878,6,1878.458,22.621,0.783
1878,7,1878.542,22.668,0.834
1878,8,1878.625,22.585,0.614
1878,9,1878.708,22.400,0.657
1878,10,1878.792,22.075,0.634
1878,11,1878.875,22.104,1.084
1878,12,1878.958,21.597,0.916
1880,2,1880.125,21.446,1.105
1880,3,1880.208,21.628,0.887
1880,4,1880.292,21.545,0.756
1880,5,1880.375,21.614,0.700
1880,6,1880.458,22.363,0.863
1880,7,1880.542,22.021,0.793
1880,8,1880.625,22.043,0.613
1880,9,1880.708,22.122,0.939
1880,10,1880.792,21.508,0.734
1880,11,1880.875,21.680,0.756
1880,12,1880.958,21.773,0.595
1881,1,1881.042,21.310,1.230
1881,2,1881.125,21.129,1.194
1881,3,1881.208,22.106,0.673
1885,1,1885.042,20.795,0.853
1885,2,1885.125,21.583,0.886
1885,3,1885.208,21.512,0.841
1885,4,1885.292,21.437,0.827
1885,5,1885.375,21.770,0.808
1885,11,1885.875,21.424,0.878
1885,12,1885.958,22.049,0.898
1886,7,1886.542,22.291,0.897
1889,1,1889.042,21.779,0.849
1889,2,1889.125,22.824,0.820
1889,3,1889.208,22.252,0.824
1889,4,1889.292,22.556,0.743
1889,5,1889.375,22.471,0.763
1889,6,1889.458,22.308,0.757
1889,7,1889.542,22.423,0.736
1889,8,1889.625,21.829,0.824
1889,9,1889.708,21.964,0.733
1889,10,1889.792,21.685,0.870
1889,11,1889.875,21.476,0.906
1889,12,1889.958,21.854,0.849
1890,1,1890.042,21.792,0.796
1890,2,1890.125,21.836,0.743
1890,3,1890.208,21.319,0.858
1890,4,1890.292,21.713,0.769
1890,5,1890.375,21.169,0.988
1890,6,1890.458,21.787,0.815
1890,7,1890.542,21.785,0.881
1890,8,1890.625,21.443,0.840
1890,9,1890.708,21.778,0.870
1890,10,1890.792,21.677,0.959
1890,11,1890.875,21.165,0.891
1890,12,1890.958,21.264,0.986
1891,1,1891.042,21.233,0.814
1891,2,1891.125,21.219,0.779
1891,3,1891.208,21.475,0.862
1891,4,1891.292,21.568,0.801
1891,5,1891.375,21.639,0.749
1891,6,1891.458,21.886,0.728
1891,7,1891.542,21.778,0.778
1891,8,1891.625,21.721,0.790
1891,9,1891.708,22.062,0.764
1891,10,1891.792,21.566,0.748
1891,11,1891.875,21.299,0.747
1891,12,1891.958,22.109,0.815
1892,1,1892.042,21.002,1.291
1892,2,1892.125,21.725,0.595
1892,3,1892.208,22.046,1.023
1892,4,1892.292,22.018,0.864
1892,5,1892.375,22.211,0.922
1892,6,1892.458,22.689,0.756
1892,7,1892.542,22.151,0.594
1892,8,1892.625,22.057,0.707
1892,9,1892.708,22.262,0.695
1892,10,1892.792,21.971,0.511
1892,11,1892.875,21.868,0.643
1892,12,1892.958,22.044,0.644
1893,1,1893.042,21.081,1.030
1893,2,1893.125,21.242,0.740
1893,3,1893.208,21.626,0.598
1893,4,1893.292,21.914,0.769
1893,5,1893.375,20.949,1.065
1893,6,1893.458,21.313,1.446
1893,7,1893.542,21.486,1.298
1893,8,1893.625,21.439,1.006
1893,9,1893.708,21.682,0.692
1893,10,1893.792,22.029,0.556
1893,11,1893.875,21.709,0.578
1893,12,1893.958,22.588,1.008
1894,1,1894.042,21.835,0.508
1894,2,1894.125,22.478,1.072
1894,3,1894.208,21.860,0.389
1894,4,1894.292,21.611,1.037
1894,5,1894.375,22.013,0.555
1894,6,1894.458,21.631,0.568
1894,7,1894.542,21.886,0.510
1894,8,1894.625,22.285,0.600
1894,9,1894.708,22.169,0.652
1894,10,1894.792,22.391,0.563
1894,11,1894.875,21.746,1.043
1894,12,1894.958,22.266,0.884
1895,1,1895.042,22.075,1.120
1895,2,1895.125,21.591,0.493
1895,3,1895.208,22.251,0.384
1895,4,1895.292,22.118,0.508
1895,5,1895.375,22.188,0.595
1895,6,1895.458,21.837,0.833
1895,7,1895.542,22.437,0.587
1895,8,1895.625,22.404,0.565
1895,9,1895.708,21.927,0.737
1895,10,1895.792,22.191,0.592
1895,11,1895.875,22.007,0.580
1895,12,1895.958,22.391,0.816
1896,1,1896.042,22.446,0.738
1896,2,1896.125,22.214,0.624
1896,3,1896.208,21.981,0.512
1896,4,1896.292,22.082,0.757
1896,5,1896.375,22.259,0.667
1896,6,1896.458,22.639,0.662
1896,7,1896.542,22.227,0.470
1896,8,1896.625,22.088,0.596
1896,9,1896.708,21.988,0.502
1896,10,1896.792,21.913,0.438
1896,11,1896.875,21.083,0.438
1896,12,1896.958,22.159,0.489
1897,1,1897.042,21.999,0.725
1897,2,1897.125,21.831,0.557
1897,3,1897.208,22.179,0.440
1897,4,1897.292,21.909,0.793
1897,5,1897.375,22.154,0.877
1897,6,1897.458,22.075,0.598
1897,7,1897.542,22.307,0.471
1897,8,1897.625,22.341,0.475
1897,9,1897.708,22.341,0.569
1897,10,1897.792,22.247,0.502
1897,11,1897.875,22.852,0.590
1897,12,1897.958,22.413,0.409
1898,1,1898.042,22.747,0.636
1898,2,1898.125,22.045,0.677
1898,3,1898.208,22.194,0.619
1898,4,1898.292,22.804,0.585
1898,5,1898.375,22.968,0.568
1898,6,1898.458,22.410,0.633
1898,7,1898.542,21.812,0.442
1898,8,1898.625,21.377,0.774
1898,9,1898.708,21.853,0.651
1898,10,1898.792,21.963,0.524
1898,11,1898.875,22.261,0.733
1898,12,1898.958,22.760,0.756
1899,1,1899.042,21.910,0.921
1899,2,1899.125,21.807,0.490
1899,3,1899.208,21.816,0.462
1899,4,1899.292,22.087,0.455
1899,5,1899.375,21.218,0.748
1899,6,1899.458,21.573,0.458
1899,7,1899.542,22.001,0.823
1899,8,1899.625,21.929,0.599
1899,9,1899.708,22.243,0.706
1899,10,1899.792,22.306,0.515
1899,11,1899.875,22.435,0.684
1899,12,1899.958,22.328,0.771
1900,1,1900.042,22.387,0.857
1900,2,1900.125,22.094,1.080
1900,3,1900.208,22.551,0.487
1900,4,1900.292,22.507,0.660
1900,5,1900.375,22.437,0.508
1900,6,1900.458,22.266,0.561
1900,7,1900.542,22.354,0.465
1900,8,1900.625,22.608,0.607
1900,9,1900.708,22.368,0.743
1900,10,1900.792,22.524,0.641
1900,11,1900.875,22.240,0.566
