# Monthly average temperature data for Thailand.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1840,1,1840.042,26.198,1.460
1840,2,1840.125,25.908,0.964
1840,3,1840.208,25.536,2.531
1840,4,1840.292,24.982,1.280
1840,5,1840.375,25.774,1.285
1840,6,1840.458,25.650,1.244
1840,7,1840.542,26.188,1.320
1840,8,1840.625,25.745,1.404
1840,9,1840.708,25.767,1.144
1840,10,1840.792,25.119,1.221
1840,11,1840.875,25.551,1.953
1840,12,1840.958,25.052,1.127
1841,1,1841.042,26.128,2.036
1841,2,1841.125,25.897,1.849
1841,3,1841.208,25.767,3.025
1841,4,1841.292,25.709,2.733
1841,5,1841.375,25.866,0.904
1841,6,1841.458,26.345,1.143
1841,7,1841.542,26.622,1.054
1841,8,1841.625,26.792,1.684
1841,9,1841.708,25.977,1.339
1841,10,1841.792,26.312,1.486
1841,11,1841.875,25.912,2.362
1841,12,1841.958,26.480,2.550
1842,1,1842.042,26.424,2.312
1842,2,1842.125,26.940,2.056
1842,3,1842.208,25.879,1.264
1842,4,1842.292,25.343,1.329
1842,5,1842.375,25.552,0.917
1842,6,1842.458,25.770,1.680
1842,7,1842.542,25.534,1.158
1842,8,1842.625,25.743,1.015
1842,9,1842.708,25.434,1.009
1842,10,1842.792,24.882,0.920
1842,11,1842.875,24.872,1.174
1842,12,1842.958,25.929,1.392
1843,1,1843.042,26.381,1.143
1843,2,1843.125,26.099,2.197
1843,3,1843.208,25.589,1.143
1843,4,1843.292,25.327,1.023
1843,5,1843.375,25.598,1.740
1843,6,1843.458,26.131,1.476
1843,7,1843.542,25.914,0.802
1843,8,1843.625,25.976,1.029
1843,9,1843.708,25.600,0.904
1843,10,1843.792,25.319,1.155
1843,11,1843.875,25.410,1.345
1843,12,1843.958,25.257,2.739
1844,1,1844.042,24.983,2.021
1844,2,1844.125,25.262,1.179
1844,3,1844.208,26.352,1.759
1844,4,1844.292,25.253,1.186
1844,5,1844.375,25.478,1.390
1844,6,1844.458,25.604,0.783
1844,7,1844.542,25.361,0.908
1844,8,1844.625,24.977,1.080
1844,9,1844.708,24.887,1.109
1844,10,1844.792,24.718,1.519
1844,11,1844.875,24.298,1.202
1844,12,1844.958,25.096,1.806
1845,1,1845.042,24.976,2.500
1845,2,1845.125,25.784,2.676
1845,3,1845.208,25.180,0.914
1845,4,1845.292,23.739,2.608
1845,5,1845.375,25.026,1.186
1845,6,1845.458,25.304,1.131
1845,8,1845.625,25.123,1.528
1845,10,1845.792,24.148,1.805
1845,11,1845.875,24.246,2.070
1845,12,1845.958,24.880,1.809
1846,1,1846.042,26.354,3.906
1846,2,1846.125,25.339,2.299
1846,3,1846.208,26.058,1.851
1846,4,1846.292,25.425,1.683
1846,5,1846.375,25.669,0.894
1846,6,1846.458,25.724,1.624
1846,7,1846.542,25.866,1.726
1846,8,1846.625,25.769,1.218
1846,9,1846.708,25.211,1.384
1846,10,1846.792,24.880,1.915
1846,11,1846.875,24.438,1.974
1846,12,1846.958,25.147,1.834
1847,1,1847.042,25.277,2.504
1847,2,1847.125,25.273,1.843
1847,3,1847.208,24.955,1.856
1847,4,1847.292,24.718,2.008
1847,5,1847.375,24.887,1.250
1847,6,1847.458,25.479,0.925
1847,7,1847.542,25.850,1.188
1847,8,1847.625,25.375,0.991
1847,9,1847.708,25.130,1.342
1847,10,1847.792,24.451,1.905
1847,11,1847.875,25.033,1.154
1847,12,1847.958,24.953,1.829
1852,1,1852.042,25.645,1.497
1852,2,1852.125,25.686,1.098
1852,3,1852.208,24.669,1.331
1852,4,1852.292,24.974,1.340
1852,5,1852.375,25.843,1.368
1852,6,1852.458,26.061,1.126
1852,7,1852.542,26.122,1.033
1852,8,1852.625,25.699,1.129
1852,9,1852.708,25.771,1.068
1852,10,1852.792,25.518,1.203
1852,11,1852.875,24.725,1.362
1852,12,1852.958,25.627,1.618
1853,1,1853.042,24.752,1.419
1853,2,1853.125,25.236,1.966
1853,3,1853.208,26.174,1.221
1853,4,1853.292,26.017,0.926
1853,5,1853.375,26.405,1.040
1853,6,1853.458,26.444,0.997
1853,7,1853.542,26.445,0.970
1853,8,1853.625,26.450,0.941
1853,9,1853.708,26.054,1.050
1853,10,1853.792,25.606,1.229
1853,11,1853.875,25.494,1.314
1853,12,1853.958,25.641,0.902
1854,1,1854.042,26.112,1.203
1854,2,1854.125,25.104,0.954
1854,3,1854.208,26.138,1.071
1854,4,1854.292,25.002,1.122
1854,5,1854.375,26.160,1.078
1854,6,1854.458,26.281,1.052
1854,7,1854.542,26.901,1.311
1854,8,1854.625,26.274,1.041
1854,9,1854.708,25.608,1.029
1854,10,1854.792,25.730,1.422
1854,11,1854.875,25.612,1.289
1854,12,1854.958,26.001,2.386
1855,1,1855.042,26.094,1.297
1855,2,1855.125,25.831,1.835
1855,3,1855.208,25.653,1.154
1855,4,1855.292,25.996,1.260
1855,5,1855.375,26.317,1.018
1855,6,1855.458,25.767,1.210
1855,7,1855.542,25.838,1.032
1855,8,1855.625,26.095,1.079
1855,9,1855.708,25.526,1.223
1855,10,1855.792,24.585,1.417
1855,11,1855.875,25.243,0.998
1855,12,1855.958,25.088,1.563
1856,1,1856.042,25.839,1.338
1856,2,1856.125,25.252,1.448
1856,3,1856.208,25.540,1.266
1856,4,1856.292,25.147,0.997
1856,5,1856.375,25.506,1.023
1856,6,1856.458,26.334,1.494
1856,7,1856.542,25.597,1.208
1856,8,1856.625,25.404,1.158
1856,9,1856.708,25.452,1.045
