# Monthly average temperature data for Timor Leste.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1878,3,1878.208,27.215,1.011
1878,4,1878.292,26.679,1.028
1878,5,1878.375,25.853,0.975
1878,6,1878.458,26.440,1.054
1878,7,1878.542,27.181,1.504
1878,8,1878.625,26.146,1.018
1878,9,1878.708,26.521,1.236
1878,10,1878.792,26.480,1.279
1878,11,1878.875,25.705,1.039
1878,12,1878.958,25.722,0.966
1879,1,1879.042,26.096,1.371
1879,2,1879.125,25.600,1.013
1879,3,1879.208,25.142,1.229
1879,4,1879.292,25.088,1.032
1879,5,1879.375,24.703,1.268
1879,6,1879.458,25.726,1.101
1879,7,1879.542,25.943,0.983
1879,8,1879.625,25.114,1.041
1879,9,1879.708,24.943,1.300
1879,10,1879.792,25.332,1.222
1879,11,1879.875,25.455,1.091
1879,12,1879.958,25.686,1.626
1880,1,1880.042,24.579,1.037
1880,2,1880.125,25.288,1.243
1880,3,1880.208,26.169,1.788
1880,4,1880.292,25.579,1.270
1880,5,1880.375,26.108,1.140
1880,6,1880.458,25.549,0.923
1880,7,1880.542,25.613,1.042
1880,8,1880.625,26.756,1.977
1880,9,1880.708,25.199,1.035
1880,10,1880.792,25.601,1.051
1880,11,1880.875,26.001,1.557
1880,12,1880.958,25.063,1.027
1881,1,1881.042,26.152,1.670
1881,2,1881.125,25.321,1.340
1881,3,1881.208,25.935,1.068
1881,4,1881.292,26.161,1.283
1881,5,1881.375,26.670,2.021
1881,6,1881.458,25.507,1.070
1881,7,1881.542,25.825,0.914
1881,8,1881.625,25.994,1.305
1881,9,1881.708,25.384,1.064
1881,10,1881.792,25.709,0.927
1881,11,1881.875,25.475,1.500
1881,12,1881.958,25.767,1.093
1882,1,1882.042,26.414,0.972
1882,2,1882.125,26.387,1.423
1882,3,1882.208,25.905,0.831
1882,4,1882.292,26.113,1.365
1882,5,1882.375,25.719,0.733
1882,6,1882.458,24.693,1.333
1882,7,1882.542,25.407,0.603
1882,8,1882.625,25.640,0.682
1882,9,1882.708,26.346,1.366
1882,10,1882.792,25.890,1.577
1882,11,1882.875,25.493,1.566
1882,12,1882.958,25.495,1.702
1883,1,1883.042,26.326,2.642
1883,2,1883.125,25.449,1.149
1883,3,1883.208,26.958,2.537
1883,4,1883.292,26.292,1.918
1883,5,1883.375,25.311,0.609
1883,6,1883.458,26.813,1.410
1883,7,1883.542,26.515,1.183
1883,8,1883.625,26.115,1.598
1883,9,1883.708,25.782,0.917
1883,10,1883.792,25.715,0.589
1883,11,1883.875,25.425,1.609
1883,12,1883.958,25.156,0.734
1884,1,1884.042,25.025,0.736
1884,2,1884.125,25.262,0.618
1884,3,1884.208,25.015,0.922
1884,4,1884.292,25.290,0.907
1884,5,1884.375,24.985,0.556
1884,6,1884.458,26.108,1.586
1884,7,1884.542,24.863,0.671
1884,8,1884.625,25.042,0.790
1884,9,1884.708,25.516,0.955
1884,10,1884.792,25.488,0.777
1884,11,1884.875,24.976,0.788
1884,12,1884.958,25.713,1.380
1885,1,1885.042,25.568,2.155
1885,2,1885.125,25.542,1.217
1885,3,1885.208,25.471,0.885
1885,4,1885.292,25.537,1.184
1885,5,1885.375,25.691,0.675
1885,6,1885.458,25.338,0.713
1885,7,1885.542,25.468,0.765
1885,8,1885.625,25.877,1.023
1885,9,1885.708,25.497,0.726
1885,10,1885.792,25.670,0.604
1885,11,1885.875,24.807,0.983
1885,12,1885.958,25.478,0.608
1886,1,1886.042,25.658,2.109
1886,2,1886.125,25.378,1.481
1886,3,1886.208,25.578,1.423
1886,4,1886.292,25.631,0.727
1886,5,1886.375,25.618,0.649
1886,6,1886.458,25.432,0.614
1886,7,1886.542,25.889,0.755
1886,8,1886.625,25.621,0.662
1886,9,1886.708,25.784,0.742
1886,10,1886.792,26.227,2.325
1886,11,1886.875,25.381,1.067
1886,12,1886.958,25.421,0.747
1887,1,1887.042,25.045,1.221
1887,2,1887.125,25.404,1.349
1887,3,1887.208,25.726,1.268
1887,4,1887.292,24.659,1.225
1887,5,1887.375,25.087,0.994
1887,6,1887.458,24.835,1.083
1887,7,1887.542,25.382,0.760
1887,8,1887.625,25.143,0.615
1887,9,1887.708,25.311,0.975
1887,10,1887.792,25.630,0.630
1887,11,1887.875,24.853,0.765
1887,12,1887.958,25.504,1.174
1888,1,1888.042,24.203,1.498
1888,2,1888.125,25.465,1.196
1888,3,1888.208,25.854,1.960
1888,4,1888.292,25.940,1.235
1888,5,1888.375,26.031,1.387
1888,6,1888.458,26.129,0.899
1888,7,1888.542,25.916,1.187
1888,8,1888.625,26.018,0.649
1888,9,1888.708,25.533,1.136
1888,10,1888.792,26.004,0.689
1888,11,1888.875,25.383,0.628
1888,12,1888.958,25.446,0.706
1889,1,1889.042,25.678,1.159
1889,2,1889.125,26.447,1.684
1889,3,1889.208,26.642,1.055
1889,4,1889.292,27.220,0.651
1889,5,1889.375,26.800,0.962
1889,6,1889.458,27.563,0.752
1889,7,1889.542,25.826,0.827
1889,8,1889.625,26.331,0.781
1889,9,1889.708,26.171,0.604
1889,10,1889.792,26.111,0.827
1889,11,1889.875,25.366,1.161
1889,12,1889.958,25.052,0.837
1890,1,1890.042,25.882,1.032
1890,2,1890.125,25.595,0.858
1890,3,1890.208,25.995,1.238
1890,4,1890.292,25.304,0.563
1890,5,1890.375,25.365,0.665
1890,6,1890.458,26.185,0.636
1890,7,1890.542,25.627,1.077
1890,8,1890.625,25.840,0.758
1890,9,1890.708,25.737,0.658
1890,10,1890.792,25.537,0.669
1890,11,1890.875,25.220,0.856
1890,12,1890.958,25.394,1.421
1891,1,1891.042,25.377,1.386
1891,2,1891.125,25.664,1.138
1891,3,1891.208,26.054,0.926
1891,4,1891.292,25.066,1.004
1891,5,1891.375,25.700,0.611
1891,6,1891.458,25.742,0.802
1891,7,1891.542,24.599,0.726
1891,8,1891.625,24.238,0.603
1891,9,1891.708,25.027,1.078
1891,10,1891.792,25.298,1.175
1891,11,1891.875,24.509,1.180
1891,12,1891.958,25.997,0.992
1892,1,1892.042,26.308,1.103
1892,2,1892.125,25.956,2.340
1892,3,1892.208,25.305,1.809
1892,4,1892.292,25.512,1.318
1892,5,1892.375,25.117,0.922
1892,6,1892.458,26.875,1.094
1892,7,1892.542,26.364,0.669
1892,8,1892.625,26.506,0.817
1892,9,1892.708,26.179,1.169
1892,10,1892.792,25.703,1.385
1892,11,1892.875,24.835,1.683
1892,12,1892.958,25.451,1.956
1893,1,1893.042,24.105,1.247
1893,2,1893.125,24.845,1.212
1893,3,1893.208,25.622,0.815
1893,4,1893.292,26.421,1.065
1893,5,1893.375,26.068,1.352
1893,6,1893.458,26.058,0.992
1893,7,1893.542,26.577,1.059
1893,8,1893.625,25.518,1.303
1893,9,1893.708,25.942,0.682
1893,10,1893.792,25.967,1.032
1893,11,1893.875,25.701,0.901
1893,12,1893.958,25.475,1.201
1894,1,1894.042,24.666,1.183
1894,2,1894.125,25.157,1.362
1894,3,1894.208,25.598,0.769
1894,4,1894.292,25.491,0.936
1894,5,1894.375,24.365,0.818
1894,6,1894.458,24.831,0.678
1894,7,1894.542,24.885,0.795
1894,8,1894.625,25.310,0.735
1894,9,1894.708,24.954,0.610
1894,10,1894.792,25.738,0.649
1894,11,1894.875,24.910,0.625
1894,12,1894.958,25.660,0.868
1895,1,1895.042,25.233,0.649
1895,2,1895.125,24.888,0.856
1895,3,1895.208,25.399,0.930
1895,4,1895.292,25.925,0.833
1895,5,1895.375,25.490,0.557
1895,6,1895.458,25.666,0.542
1895,7,1895.542,25.765,0.869
1895,8,1895.625,25.098,0.817
1895,9,1895.708,25.215,0.885
1895,10,1895.792,25.457,0.547
1895,11,1895.875,24.903,0.686
1895,12,1895.958,25.990,0.666
1896,1,1896.042,24.318,0.851
1896,2,1896.125,24.905,0.620
1896,3,1896.208,25.381,0.986
1896,4,1896.292,25.482,1.174
1896,5,1896.375,24.997,0.816
1896,6,1896.458,24.544,0.740
1896,7,1896.542,24.572,0.669
1896,8,1896.625,25.082,0.880
1896,9,1896.708,24.959,0.840
1896,10,1896.792,24.893,0.610
1896,11,1896.875,25.251,0.989
1896,12,1896.958,26.142,0.740
1897,1,1897.042,26.250,0.765
1897,2,1897.125,26.469,0.652
1897,3,1897.208,26.564,0.891
1897,4,1897.292,26.611,1.224
1897,5,1897.375,25.505,0.646
1897,6,1897.458,27.086,0.903
1897,7,1897.542,26.914,0.596
1897,8,1897.625,26.417,0.595
1897,9,1897.708,25.669,0.656
1897,10,1897.792,25.766,0.634
1897,11,1897.875,26.075,0.957
1897,12,1897.958,25.593,0.698
1898,1,1898.042,25.714,0.803
1898,2,1898.125,25.658,1.301
1898,3,1898.208,24.641,0.737
1898,4,1898.292,25.446,0.728
1898,5,1898.375,24.889,0.858
1898,6,1898.458,26.506,0.741
1898,7,1898.542,25.368,0.801
1898,8,1898.625,25.770,0.754
1898,9,1898.708,25.754,0.560
1898,10,1898.792,25.799,0.855
1898,11,1898.875,25.076,0.810
1898,12,1898.958,25.426,1.134
1899,1,1899.042,25.386,0.869
1899,2,1899.125,25.677,0.720
1899,3,1899.208,24.493,0.976
1899,4,1899.292,25.313,0.687
1899,5,1899.375,25.032,1.072
1899,6,1899.458,25.380,0.690
1899,7,1899.542,24.969,0.616
1899,8,1899.625,24.973,0.719
1899,9,1899.708,25.411,0.610
1899,10,1899.792,25.451,0.607
1899,11,1899.875,25.827,0.780
1899,12,1899.958,25.289,0.658
1900,1,1900.042,26.627,0.866
1900,2,1900.125,25.969,0.775
1900,3,1900.208,25.879,0.937
1900,4,1900.292,27.076,0.718
1900,5,1900.375,26.878,0.802
1900,6,1900.458,26.402,0.725
1900,7,1900.542,25.799,0.749
1900,8,1900.625,26.460,0.846
1900,9,1900.708,26.759,0.676
1900,10,1900.792,26.065,0.640
1900,11,1900.875,25.699,0.718
1900,12,1900.958,26.533,0.688
1901,1,1901.042,26.847,0.875
1901,2,1901.125,25.521,0.738
1901,3,1901.208,25.672,1.051
1901,4,1901.292,26.185,0.717
1901,5,1901.375,25.809,0.729
1901,6,1901.458,26.680,0.989
1901,7,1901.542,25.657,0.658
1901,8,1901.625,24.472,0.805
1901,9,1901.708,25.425,0.889
1901,10,1901.792,25.912,0.854
1901,11,1901.875,25.004,0.736
1901,12,1901.958,25.662,0.845
1902,1,1902.042,25.146,1.082
1902,2,1902.125,25.616,0.836
1902,3,1902.208,25.736,0.652
1902,4,1902.292,25.800,0.978
1902,5,1902.375,25.701,0.784
1902,6,1902.458,26.403,0.804
1902,7,1902.542,26.131,0.656
1902,8,1902.625,25.721,0.818
1902,9,1902.708,25.010,0.764
1902,10,1902.792,25.255,0.821
1902,11,1902.875,24.921,1.095
1902,12,1902.958,25.631,0.724
1903,1,1903.042,26.097,0.975
1903,2,1903.125,25.909,0.645
1903,3,1903.208,25.721,0.524
1903,4,1903.292,25.825,0.589
1903,5,1903.375,25.885,1.013
1903,6,1903.458,25.507,0.791
1903,7,1903.542,26.107,0.895
1903,8,1903.625,26.014,0.667
1903,9,1903.708,25.628,0.571
1903,10,1903.792,25.588,0.590
1903,11,1903.875,25.065,0.635
1903,12,1903.958,25.047,0.793
1904,1,1904.042,24.692,1.087
1904,2,1904.125,25.784,0.549
1904,3,1904.208,25.296,0.581
1904,4,1904.292,24.101,0.800
1904,5,1904.375,25.027,1.269
1904,6,1904.458,24.755,0.642
1904,7,1904.542,26.238,0.643
1904,8,1904.625,25.293,0.691
1904,9,1904.708,25.421,0.590
1904,10,1904.792,25.078,0.633
1904,11,1904.875,25.149,0.757
1904,12,1904.958,25.372,0.577
1905,1,1905.042,25.450,0.619
1905,2,1905.125,25.455,0.515
1905,3,1905.208,26.739,0.763
1905,4,1905.292,26.653,0.571
1905,5,1905.375,26.196,0.550
1905,6,1905.458,26.517,1.016
1905,7,1905.542,26.432,1.169
1905,8,1905.625,26.132,0.688
1905,9,1905.708,26.154,0.545
1905,10,1905.792,26.227,0.681
1905,11,1905.875,25.668,0.723
1905,12,1905.958,26.058,0.820
1906,1,1906.042,26.145,0.922
1906,2,1906.125,26.332,0.800
1906,3,1906.208,27.228,0.802
1906,4,1906.292,27.337,0.755
1906,5,1906.375,26.894,0.849
1906,6,1906.458,27.521,0.662
1906,7,1906.542,27.071,0.554
1906,8,1906.625,26.353,0.768
1906,9,1906.708,25.746,0.504
1906,10,1906.792,26.336,0.623
1906,11,1906.875,25.654,0.932
1906,12,1906.958,25.194,1.492
1907,1,1907.042,25.602,0.711
1907,2,1907.125,25.351,0.763
1907,3,1907.208,25.086,0.648
1907,4,1907.292,25.428,0.732
1907,5,1907.375,25.638,0.700
1907,6,1907.458,25.508,0.557
1907,7,1907.542,26.070,0.554
1907,8,1907.625,25.466,0.846
1907,9,1907.708,25.145,0.704
1907,10,1907.792,25.709,0.543
1907,11,1907.875,25.465,0.638
1907,12,1907.958,25.272,1.070
1908,1,1908.042,25.845,0.612
1908,2,1908.125,25.780,0.823
1908,3,1908.208,25.577,0.774
1908,4,1908.292,26.020,0.671
1908,5,1908.375,25.884,0.768
1908,6,1908.458,25.127,0.924
1908,7,1908.542,25.679,0.730
1908,8,1908.625,25.949,0.879
1908,9,1908.708,25.329,0.938
1908,10,1908.792,25.463,0.922
1908,11,1908.875,25.224,0.695
1908,12,1908.958,24.677,0.872
1909,1,1909.042,26.203,0.833
1909,2,1909.125,26.089,0.582
1909,3,1909.208,25.518,0.652
1909,4,1909.292,25.564,0.945
1909,5,1909.375,25.472,0.503
1909,6,1909.458,26.388,0.595
1909,7,1909.542,26.332,0.529
