# Monthly average temperature data for Togo.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1873,7,1873.542,27.267,1.325
1873,8,1873.625,26.894,0.897
1873,9,1873.708,26.934,1.026
1873,10,1873.792,26.437,0.848
1873,12,1873.958,26.831,0.756
1874,1,1874.042,26.647,0.844
1874,2,1874.125,26.370,0.813
1874,3,1874.208,25.941,0.943
1874,4,1874.292,26.835,0.662
1874,5,1874.375,26.309,1.073
1874,7,1874.542,26.602,0.700
1874,8,1874.625,26.310,0.679
1874,9,1874.708,26.758,0.704
1874,10,1874.792,26.517,0.982
1874,11,1874.875,25.994,0.826
1874,12,1874.958,26.296,0.869
1875,1,1875.042,25.856,0.788
1875,2,1875.125,26.025,1.113
1875,3,1875.208,26.110,0.830
1875,4,1875.292,26.391,0.833
1875,5,1875.375,26.330,0.988
1875,6,1875.458,26.647,0.952
1875,7,1875.542,26.736,1.081
1875,8,1875.625,26.388,0.972
1875,9,1875.708,26.208,0.987
1875,10,1875.792,25.958,0.651
1875,11,1875.875,25.326,1.149
1875,12,1875.958,25.895,0.635
1876,1,1876.042,25.840,1.022
1876,2,1876.125,25.542,1.183
1876,3,1876.208,26.006,1.326
1876,5,1876.375,26.079,0.776
1876,6,1876.458,26.751,0.697
1876,10,1876.792,26.530,1.072
1876,11,1876.875,25.908,1.292
1876,12,1876.958,25.939,1.606
1877,1,1877.042,26.270,1.185
1877,2,1877.125,26.162,0.787
1877,3,1877.208,26.618,0.797
1877,4,1877.292,26.587,0.630
1877,5,1877.375,26.563,0.661
1877,6,1877.458,27.002,0.903
1877,7,1877.542,27.273,0.719
1877,8,1877.625,27.201,0.729
1877,9,1877.708,26.881,0.773
1877,10,1877.792,26.789,0.713
1877,11,1877.875,26.754,0.800
1877,12,1877.958,26.667,1.073
1878,1,1878.042,26.463,0.971
1878,2,1878.125,26.968,0.827
1878,3,1878.208,27.728,0.970
1878,4,1878.292,27.180,0.977
1878,5,1878.375,26.513,0.827
1878,6,1878.458,27.236,0.924
1878,7,1878.542,26.796,1.224
1878,8,1878.625,26.473,1.093
1878,9,1878.708,26.629,0.912
1878,10,1878.792,26.669,0.935
1878,11,1878.875,26.629,1.022
1878,12,1878.958,26.527,1.119
1879,1,1879.042,26.117,1.373
1879,2,1879.125,26.473,0.815
1879,3,1879.208,26.119,0.853
1879,4,1879.292,26.196,0.702
1879,5,1879.375,26.012,0.735
1879,6,1879.458,26.784,0.996
1879,7,1879.542,25.968,0.901
1879,8,1879.625,25.655,0.669
1879,9,1879.708,26.134,0.605
1879,10,1879.792,26.597,0.865
1879,11,1879.875,26.237,0.634
1879,12,1879.958,26.138,0.825
1880,1,1880.042,26.164,0.917
1880,2,1880.125,25.751,0.824
1880,3,1880.208,26.088,0.997
1880,4,1880.292,26.193,0.769
1880,5,1880.375,26.649,0.839
1880,6,1880.458,26.536,0.983
1880,7,1880.542,27.101,0.953
1880,8,1880.625,27.125,0.984
1880,9,1880.708,26.445,0.779
1880,10,1880.792,26.963,1.049
1880,11,1880.875,26.688,0.809
1880,12,1880.958,26.947,0.851
1881,1,1881.042,27.158,0.814
1881,2,1881.125,26.740,1.213
1881,3,1881.208,27.362,1.257
1881,4,1881.292,27.182,0.962
1881,5,1881.375,27.166,0.774
1881,7,1881.542,27.381,0.978
1881,9,1881.708,26.730,0.779
1881,10,1881.792,26.616,1.041
1881,11,1881.875,26.294,0.818
1881,12,1881.958,26.799,1.008
1882,1,1882.042,26.958,0.870
1882,2,1882.125,26.549,0.970
1882,3,1882.208,26.662,0.902
1882,4,1882.292,26.156,0.921
1882,5,1882.375,26.422,0.838
1882,7,1882.542,26.612,0.813
1882,8,1882.625,26.414,0.972
1882,9,1882.708,26.631,0.752
1882,10,1882.792,26.681,0.679
1882,11,1882.875,26.045,0.921
1883,3,1883.208,26.880,1.276
1883,4,1883.292,27.291,1.057
1883,5,1883.375,26.578,0.828
1883,6,1883.458,27.327,0.739
1883,10,1883.792,26.990,0.783
1883,11,1883.875,26.537,1.452
1884,2,1884.125,26.986,1.086
1884,3,1884.208,26.780,1.568
1884,4,1884.292,26.676,1.290
1884,5,1884.375,26.328,1.224
1886,1,1886.042,26.505,0.829
1886,2,1886.125,26.398,0.606
1886,3,1886.208,27.180,1.509
1886,4,1886.292,26.680,0.989
1886,5,1886.375,26.605,0.411
1886,6,1886.458,26.874,1.798
1886,7,1886.542,26.870,0.656
1886,8,1886.625,26.890,0.724
1886,9,1886.708,26.466,0.596
1886,10,1886.792,26.295,0.670
1886,11,1886.875,26.319,0.622
1886,12,1886.958,25.393,1.179
1887,1,1887.042,25.683,1.212
1887,2,1887.125,25.623,0.595
1887,3,1887.208,25.985,1.250
1887,4,1887.292,26.160,0.619
1887,5,1887.375,26.156,1.018
1887,6,1887.458,25.263,0.531
1887,7,1887.542,25.625,0.641
1887,8,1887.625,25.331,0.671
1887,9,1887.708,26.313,1.165
1887,10,1887.792,26.097,0.701
1887,11,1887.875,26.049,0.808
1887,12,1887.958,26.675,0.535
1888,1,1888.042,26.118,0.758
1888,2,1888.125,26.344,0.557
1888,3,1888.208,27.152,0.539
1888,4,1888.292,27.292,0.563
1888,5,1888.375,26.448,0.558
1888,6,1888.458,25.617,1.611
1888,7,1888.542,25.724,0.615
1888,8,1888.625,25.612,1.060
1888,9,1888.708,26.406,0.524
1888,10,1888.792,26.082,0.607
1888,11,1888.875,26.980,0.856
1888,12,1888.958,26.143,2.238
1889,1,1889.042,26.416,0.666
1889,2,1889.125,26.877,0.460
1889,3,1889.208,27.211,0.672
1889,4,1889.292,26.926,1.975
1889,5,1889.375,26.439,0.970
1889,6,1889.458,26.452,0.506
1889,7,1889.542,26.021,0.597
1889,8,1889.625,26.246,0.585
1889,9,1889.708,25.844,0.592
1889,10,1889.792,26.048,0.619
1889,11,1889.875,26.519,1.346
1889,12,1889.958,27.379,0.963
1890,1,1890.042,26.408,1.022
1890,2,1890.125,25.953,0.839
1890,3,1890.208,25.483,0.585
1890,4,1890.292,25.772,0.596
1890,5,1890.375,26.067,0.812
1890,6,1890.458,25.231,0.722
1890,7,1890.542,26.015,0.522
1890,8,1890.625,25.176,0.892
1890,9,1890.708,25.604,0.618
1890,10,1890.792,26.423,0.954
1890,11,1890.875,25.992,0.794
1890,12,1890.958,26.705,0.729
1891,1,1891.042,26.563,0.519
1891,2,1891.125,26.204,0.527
1891,3,1891.208,26.044,0.913
1891,4,1891.292,26.552,0.891
1891,5,1891.375,26.463,0.608
1891,6,1891.458,26.181,0.472
1891,7,1891.542,25.580,1.153
1891,8,1891.625,25.417,0.798
1891,9,1891.708,26.093,0.702
1891,10,1891.792,25.958,0.613
1891,11,1891.875,26.661,1.123
1891,12,1891.958,27.106,0.567
1892,1,1892.042,27.359,0.901
1892,2,1892.125,26.338,0.747
1892,3,1892.208,26.824,0.888
1892,4,1892.292,26.212,0.646
1892,5,1892.375,25.611,0.821
1892,6,1892.458,26.060,0.505
1892,7,1892.542,25.765,1.172
1892,8,1892.625,25.911,0.874
1892,9,1892.708,26.124,0.602
1892,10,1892.792,25.779,0.540
1892,11,1892.875,26.591,0.925
1892,12,1892.958,27.302,0.999
1893,1,1893.042,26.675,0.601
1893,2,1893.125,26.279,0.479
1893,3,1893.208,26.088,0.689
1893,4,1893.292,25.619,0.902
1893,5,1893.375,26.703,0.796
1893,6,1893.458,26.495,0.601
1893,7,1893.542,26.756,0.624
1893,8,1893.625,26.872,0.569
1893,9,1893.708,26.690,0.485
1893,10,1893.792,26.561,0.442
1893,11,1893.875,27.029,0.680
1893,12,1893.958,27.106,0.790
1894,1,1894.042,26.722,0.699
1894,2,1894.125,26.074,0.687
1894,3,1894.208,26.331,0.697
1894,4,1894.292,26.401,1.308
1894,5,1894.375,26.614,0.758
1894,6,1894.458,26.244,1.054
1894,7,1894.542,26.489,0.541
1894,8,1894.625,26.158,0.536
1894,9,1894.708,26.576,0.786
1894,10,1894.792,26.174,0.657
1894,11,1894.875,26.497,0.504
1894,12,1894.958,26.562,0.819
1895,1,1895.042,26.807,0.606
1895,2,1895.125,26.612,0.849
1895,3,1895.208,26.739,0.791
1895,4,1895.292,26.723,0.703
1895,5,1895.375,27.249,1.482
1895,6,1895.458,26.231,0.378
1895,7,1895.542,27.015,1.342
1895,8,1895.625,26.681,0.644
1895,9,1895.708,27.021,0.887
1895,10,1895.792,26.722,1.404
1895,11,1895.875,27.323,1.674
1895,12,1895.958,27.623,1.359
1896,1,1896.042,26.969,1.435
1896,2,1896.125,26.831,1.509
1896,3,1896.208,26.299,0.843
1896,4,1896.292,26.649,0.642
1896,5,1896.375,26.018,0.458
1896,6,1896.458,25.642,0.376
1896,7,1896.542,25.955,0.540
1896,8,1896.625,25.504,0.844
1896,9,1896.708,25.455,1.311
1896,10,1896.792,25.814,0.608
1896,11,1896.875,26.226,0.526
1896,12,1896.958,26.299,0.309
1897,1,1897.042,25.559,0.786
1897,2,1897.125,25.911,0.612
1897,3,1897.208,26.860,0.584
1897,4,1897.292,26.640,0.748
1897,5,1897.375,26.499,0.906
1897,6,1897.458,26.435,1.313
1897,7,1897.542,26.592,0.773
1897,8,1897.625,26.751,1.015
1897,9,1897.708,26.510,0.826
1897,10,1897.792,26.299,0.828
1897,11,1897.875,26.223,1.647
1897,12,1897.958,26.365,0.966
1898,1,1898.042,25.785,0.819
1898,2,1898.125,25.311,0.710
1898,3,1898.208,26.128,1.052
1898,4,1898.292,25.563,0.813
1898,5,1898.375,26.241,1.305
1898,6,1898.458,26.222,1.004
1898,7,1898.542,26.182,0.813
1898,8,1898.625,26.382,0.972
1898,9,1898.708,26.418,0.470
1898,10,1898.792,26.426,1.028
1898,11,1898.875,27.343,1.257
1898,12,1898.958,26.673,1.143
1899,1,1899.042,25.749,1.376
1899,2,1899.125,26.363,0.432
1899,3,1899.208,26.588,0.851
1899,4,1899.292,27.062,1.017
1899,5,1899.375,27.171,0.871
1899,6,1899.458,26.701,0.401
1899,7,1899.542,27.472,0.448
1899,8,1899.625,27.638,0.581
1899,9,1899.708,27.331,0.928
