# Monthly average temperature data for Tonga.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1867,1,1867.042,23.283,1.161
1867,2,1867.125,23.063,1.309
1867,3,1867.208,23.171,1.125
1867,4,1867.292,23.662,0.765
1867,5,1867.375,24.076,2.264
1867,6,1867.458,22.339,1.331
1867,7,1867.542,23.366,1.251
1867,8,1867.625,23.043,0.618
1867,9,1867.708,22.928,0.893
1867,10,1867.792,24.025,1.362
1867,11,1867.875,22.411,3.919
1867,12,1867.958,22.351,2.622
1868,7,1868.542,23.555,1.040
1868,8,1868.625,22.533,1.492
1868,9,1868.708,21.483,2.666
1868,10,1868.792,22.448,2.259
1868,11,1868.875,22.099,1.067
1868,12,1868.958,22.260,1.987
1869,1,1869.042,22.013,2.954
1869,2,1869.125,22.644,2.655
1869,3,1869.208,22.260,1.372
1869,4,1869.292,22.741,0.944
1869,5,1869.375,23.902,1.053
1869,6,1869.458,22.858,1.297
1869,9,1869.708,22.780,1.442
1869,10,1869.792,22.851,0.679
1869,11,1869.875,22.793,1.222
1869,12,1869.958,22.295,1.264
1870,1,1870.042,22.586,1.217
1870,2,1870.125,22.581,0.829
1870,9,1870.708,24.047,1.813
1870,10,1870.792,23.166,1.105
1870,11,1870.875,23.269,1.036
1870,12,1870.958,21.798,0.769
1871,1,1871.042,22.874,1.959
1871,2,1871.125,22.755,2.105
1871,3,1871.208,22.930,1.508
1871,4,1871.292,22.327,2.003
1871,5,1871.375,23.878,1.384
1871,6,1871.458,23.210,0.746
1871,7,1871.542,24.745,2.393
1871,8,1871.625,23.406,0.760
1871,9,1871.708,23.805,2.290
1871,10,1871.792,24.308,2.471
1871,11,1871.875,23.508,2.726
1871,12,1871.958,22.867,0.888
1872,1,1872.042,22.567,1.334
1872,2,1872.125,23.017,0.763
1872,3,1872.208,23.741,2.338
1872,4,1872.292,23.241,0.941
1872,5,1872.375,24.094,1.269
1872,6,1872.458,22.922,0.905
1872,10,1872.792,22.707,0.797
1872,11,1872.875,23.226,1.267
1872,12,1872.958,23.245,1.662
1873,1,1873.042,22.596,0.888
1873,2,1873.125,22.343,1.799
1873,3,1873.208,23.215,0.896
1873,4,1873.292,23.115,1.220
1873,5,1873.375,23.012,1.117
1873,6,1873.458,22.514,1.593
1873,7,1873.542,23.722,1.140
1873,8,1873.625,22.912,0.977
1873,9,1873.708,22.906,0.759
