# Monthly average temperature data for Tunisia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1787,1,1787.042,19.425,6.032
1787,2,1787.125,18.944,3.707
1787,3,1787.208,19.392,2.848
1787,4,1787.292,19.027,2.800
1787,5,1787.375,18.664,1.984
1787,6,1787.458,20.511,2.517
1787,7,1787.542,19.251,3.065
1787,8,1787.625,19.672,1.815
1788,12,1788.958,16.796,3.916
1789,2,1789.125,19.057,1.954
1789,3,1789.208,18.651,5.445
1789,4,1789.292,19.925,2.604
1789,5,1789.375,20.952,4.242
1789,6,1789.458,18.842,1.709
1789,7,1789.542,19.766,2.387
1789,8,1789.625,19.281,1.698
1789,9,1789.708,19.787,1.774
1789,10,1789.792,19.401,2.719
1789,11,1789.875,18.116,3.862
1789,12,1789.958,17.555,3.142
1790,1,1790.042,19.093,1.653
1790,2,1790.125,19.691,4.009
1790,3,1790.208,19.321,3.133
1790,4,1790.292,18.591,1.735
1790,5,1790.375,19.320,3.857
1790,6,1790.458,19.917,1.866
1790,7,1790.542,19.285,1.789
1790,8,1790.625,20.155,1.556
1790,9,1790.708,19.515,1.816
1790,10,1790.792,21.057,1.991
1790,11,1790.875,19.794,1.793
1790,12,1790.958,19.022,4.886
1791,1,1791.042,20.922,4.506
1791,2,1791.125,19.018,2.776
1791,3,1791.208,20.403,3.047
1791,4,1791.292,20.832,2.188
1791,5,1791.375,19.054,1.577
1791,6,1791.458,18.942,2.798
1791,7,1791.542,19.205,2.196
1791,8,1791.625,20.384,1.938
1791,9,1791.708,19.216,1.850
1791,10,1791.792,19.217,1.455
1791,11,1791.875,20.504,2.226
1791,12,1791.958,19.626,1.703
1792,1,1792.042,19.571,3.746
1792,2,1792.125,19.814,3.351
1792,3,1792.208,20.020,2.324
1792,4,1792.292,20.409,1.926
1792,5,1792.375,20.246,1.889
1792,6,1792.458,20.655,1.451
1792,7,1792.542,19.538,1.989
1792,8,1792.625,18.171,1.554
1792,9,1792.708,19.087,2.209
1792,10,1792.792,19.986,1.924
1792,11,1792.875,19.112,2.682
1792,12,1792.958,18.685,2.059
1793,1,1793.042,17.768,2.478
1793,2,1793.125,19.330,1.864
1793,3,1793.208,19.711,1.909
1793,4,1793.292,19.173,3.077
1793,5,1793.375,18.732,1.338
1793,6,1793.458,18.548,2.620
1793,7,1793.542,19.583,1.571
1793,8,1793.625,19.487,1.825
1793,9,1793.708,20.365,2.832
1793,10,1793.792,19.709,2.574
1793,11,1793.875,18.684,3.019
1793,12,1793.958,19.417,2.426
1794,1,1794.042,19.800,2.151
1794,2,1794.125,19.155,3.827
1794,3,1794.208,19.997,1.469
1794,4,1794.292,21.318,2.745
1794,5,1794.375,19.894,1.924
1794,6,1794.458,17.783,2.762
1794,7,1794.542,19.261,4.290
1794,8,1794.625,19.416,2.074
1794,9,1794.708,19.670,1.620
1794,10,1794.792,19.588,1.418
1794,11,1794.875,19.602,1.896
1794,12,1794.958,18.687,3.483
1795,1,1795.042,18.984,2.602
1795,2,1795.125,20.371,2.696
1795,3,1795.208,20.323,1.706
1795,4,1795.292,20.479,3.674
1795,5,1795.375,21.100,2.126
1795,6,1795.458,18.819,2.422
1795,7,1795.542,19.298,2.073
1795,8,1795.625,19.760,2.127
1795,9,1795.708,18.618,1.978
1795,11,1795.875,18.775,3.124
1795,12,1795.958,19.334,2.962
1796,1,1796.042,20.061,2.791
1796,2,1796.125,19.608,3.515
1796,3,1796.208,18.080,2.234
1796,4,1796.292,19.051,2.254
1796,5,1796.375,19.975,1.484
1796,6,1796.458,19.634,3.075
1796,7,1796.542,19.582,2.263
1796,8,1796.625,19.991,3.881
1796,9,1796.708,19.877,3.519
1796,10,1796.792,21.064,1.863
1796,11,1796.875,19.496,2.651
1796,12,1796.958,19.208,3.660
1797,1,1797.042,19.956,5.312
1797,2,1797.125,20.269,4.063
1797,3,1797.208,18.510,5.018
1797,4,1797.292,19.786,4.821
1797,5,1797.375,19.731,3.441
1797,6,1797.458,18.922,2.947
1797,7,1797.542,19.335,1.747
1797,8,1797.625,20.404,3.673
1797,9,1797.708,19.882,3.538
1797,10,1797.792,19.993,1.906
1797,11,1797.875,19.115,2.312
1797,12,1797.958,19.651,2.811
1798,1,1798.042,19.620,1.786
1798,2,1798.125,19.597,1.828
1798,3,1798.208,20.513,2.537
1798,4,1798.292,19.469,2.123
1798,5,1798.375,19.559,1.741
1798,6,1798.458,19.115,1.865
1798,7,1798.542,20.405,1.869
1798,8,1798.625,20.006,2.338
1798,9,1798.708,19.535,2.124
1798,10,1798.792,19.583,2.232
1798,11,1798.875,21.187,1.564
1798,12,1798.958,19.540,1.632
1799,1,1799.042,18.199,1.987
1799,2,1799.125,20.371,1.803
1799,3,1799.208,19.878,3.544
1799,4,1799.292,20.427,2.419
1799,5,1799.375,19.683,1.605
1799,6,1799.458,19.222,2.219
1799,7,1799.542,19.930,1.945
1799,8,1799.625,19.810,2.092
1799,9,1799.708,19.939,2.265
1799,10,1799.792,21.079,1.715
1799,11,1799.875,19.719,1.663
1799,12,1799.958,18.981,2.814
1800,1,1800.042,20.567,1.507
1800,2,1800.125,21.116,3.450
1800,3,1800.208,19.410,1.765
1800,4,1800.292,21.680,1.431
1800,5,1800.375,19.936,1.436
1800,6,1800.458,19.006,1.445
1800,7,1800.542,19.921,2.179
1800,8,1800.625,19.136,1.820
1800,9,1800.708,18.986,1.534
1800,10,1800.792,20.117,1.796
1800,11,1800.875,19.428,2.003
1800,12,1800.958,19.566,1.620
1801,1,1801.042,19.569,2.120
1801,2,1801.125,19.793,3.378
1801,3,1801.208,20.938,1.422
1801,4,1801.292,20.219,1.495
1801,5,1801.375,20.350,2.276
1801,6,1801.458,19.312,2.533
1801,7,1801.542,20.533,2.137
1801,8,1801.625,18.763,1.889
1801,9,1801.708,19.244,1.702
1801,10,1801.792,20.802,4.177
1801,11,1801.875,20.048,1.690
1801,12,1801.958,20.628,1.892
1802,1,1802.042,19.209,2.953
1802,2,1802.125,19.358,3.689
1802,3,1802.208,20.022,2.785
