# Monthly average temperature data for Turkey.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1812,1,1812.042,10.120,5.124
1812,2,1812.125,8.834,3.674
1812,3,1812.208,9.841,2.521
1812,4,1812.292,10.163,4.409
1812,5,1812.375,10.046,1.981
1812,6,1812.458,11.275,2.097
1812,7,1812.542,12.769,2.336
1812,8,1812.625,13.431,2.078
1812,9,1812.708,9.694,4.150
1812,10,1812.792,11.299,2.292
1812,11,1812.875,11.008,3.597
1812,12,1812.958,7.347,4.713
1813,1,1813.042,5.976,3.510
1813,2,1813.125,8.940,3.611
1813,3,1813.208,8.351,3.194
1813,4,1813.292,11.028,2.917
1813,6,1813.458,11.185,2.513
1813,7,1813.542,10.233,2.552
1813,8,1813.625,10.417,2.181
1813,9,1813.708,11.471,3.073
1813,10,1813.792,11.597,2.454
1813,11,1813.875,13.708,3.001
1813,12,1813.958,11.710,2.487
1814,1,1814.042,14.472,2.013
1814,2,1814.125,9.338,2.505
1814,3,1814.208,10.659,3.824
1814,4,1814.292,11.406,2.315
1814,5,1814.375,9.225,3.263
1814,6,1814.458,10.835,2.061
1814,7,1814.542,10.364,2.915
1814,8,1814.625,11.046,2.621
1814,9,1814.708,9.962,2.282
1814,11,1814.875,10.181,4.879
1814,12,1814.958,15.357,3.916
1815,11,1815.875,11.439,2.306
1817,5,1817.375,9.495,2.203
1817,6,1817.458,9.671,2.433
1817,7,1817.542,10.879,2.667
1817,8,1817.625,12.719,2.364
1817,9,1817.708,8.690,2.903
1817,10,1817.792,8.759,3.654
1817,11,1817.875,10.275,2.412
1817,12,1817.958,11.662,3.344
1818,1,1818.042,10.053,2.527
1818,2,1818.125,10.808,2.535
1819,1,1819.042,10.289,3.377
1819,2,1819.125,11.927,1.908
1819,3,1819.208,12.275,8.327
1819,5,1819.375,10.722,2.860
1819,6,1819.458,9.987,2.031
1819,7,1819.542,9.759,1.532
1819,8,1819.625,10.334,1.846
1820,3,1820.208,12.248,2.055
1820,5,1820.375,11.565,2.313
1820,7,1820.542,10.829,1.775
1820,8,1820.625,11.264,2.454
1820,10,1820.792,8.645,3.406
1820,11,1820.875,11.242,2.219
1821,1,1821.042,12.864,2.852
1821,2,1821.125,12.088,4.312
1821,3,1821.208,13.070,3.529
1821,4,1821.292,11.932,2.064
1821,5,1821.375,12.610,2.520
1821,6,1821.458,9.485,3.413
1821,7,1821.542,9.476,3.069
1821,8,1821.625,9.982,1.682
1821,9,1821.708,10.305,2.252
1821,10,1821.792,10.322,2.015
1821,11,1821.875,10.603,2.358
1821,12,1821.958,11.972,2.243
1822,1,1822.042,12.593,2.794
1822,2,1822.125,10.507,2.604
1822,3,1822.208,12.013,3.494
1822,4,1822.292,11.140,2.502
1822,5,1822.375,10.544,2.176
1822,7,1822.542,11.574,1.919
1822,8,1822.625,11.071,1.987
