# Monthly average temperature data for Turkmenistan.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1844,11,1844.875,12.383,2.581
1844,12,1844.958,11.166,2.614
1848,1,1848.042,11.395,2.580
1848,2,1848.125,13.901,2.571
1848,3,1848.208,14.252,2.216
1848,4,1848.292,14.927,2.382
1848,5,1848.375,14.767,2.468
1848,6,1848.458,15.076,2.369
1848,7,1848.542,15.417,2.286
1848,8,1848.625,14.973,2.179
1848,9,1848.708,13.998,2.188
1848,10,1848.792,14.347,2.224
1848,11,1848.875,14.363,2.092
1848,12,1848.958,11.888,2.443
1849,1,1849.042,15.649,2.818
1849,2,1849.125,15.418,2.424
1849,3,1849.208,15.100,2.337
1849,4,1849.292,13.651,2.587
1849,5,1849.375,14.273,2.138
1849,6,1849.458,14.537,2.236
1849,7,1849.542,15.840,2.351
1849,8,1849.625,15.314,2.266
1849,9,1849.708,13.507,2.097
1849,10,1849.792,15.207,2.085
1849,11,1849.875,13.761,2.501
1849,12,1849.958,13.462,2.235
1850,1,1850.042,12.613,2.540
1850,2,1850.125,15.518,2.844
1850,3,1850.208,15.500,2.515
1850,4,1850.292,13.339,2.161
1850,5,1850.375,13.360,2.148
1850,6,1850.458,14.248,2.259
1850,7,1850.542,15.830,2.084
1850,8,1850.625,14.783,2.110
1850,9,1850.708,14.847,2.169
1850,10,1850.792,13.176,2.208
1850,11,1850.875,14.990,2.809
1850,12,1850.958,14.071,2.601
1851,1,1851.042,14.099,2.149
1851,2,1851.125,15.072,2.265
1851,3,1851.208,14.255,2.237
1851,4,1851.292,13.338,2.097
1851,5,1851.375,16.819,2.222
1851,6,1851.458,16.724,2.182
1851,7,1851.542,14.640,2.091
1851,8,1851.625,15.111,2.014
1851,9,1851.708,15.572,2.168
1851,10,1851.792,14.434,2.353
1851,11,1851.875,14.365,2.173
1851,12,1851.958,15.145,2.417
1852,1,1852.042,14.533,2.365
1852,2,1852.125,14.063,2.597
1852,3,1852.208,13.640,2.391
1852,4,1852.292,14.456,2.396
1852,5,1852.375,15.201,2.362
1852,6,1852.458,15.095,2.336
1852,7,1852.542,14.937,2.233
1852,8,1852.625,15.130,2.307
