# Monthly average temperature data for Turks And Caicas Islands.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1823,1,1823.042,26.260,1.739
1823,2,1823.125,24.960,1.994
1823,3,1823.208,26.439,2.152
1823,4,1823.292,26.133,2.498
1823,5,1823.375,26.594,1.500
1823,6,1823.458,26.797,2.371
1823,7,1823.542,26.683,1.047
1823,8,1823.625,25.927,1.568
1823,9,1823.708,25.311,2.161
1823,10,1823.792,25.053,2.139
1823,11,1823.875,25.134,1.947
1823,12,1823.958,25.407,1.847
1824,1,1824.042,27.218,0.952
1824,2,1824.125,26.078,2.385
1824,3,1824.208,27.473,1.586
1824,4,1824.292,27.088,2.258
1824,5,1824.375,27.209,1.824
1824,6,1824.458,27.293,2.194
1824,7,1824.542,27.615,1.399
1824,8,1824.625,26.199,2.553
1824,9,1824.708,26.074,1.924
1824,10,1824.792,25.899,0.823
1824,11,1824.875,26.482,1.926
1824,12,1824.958,27.165,2.629
1825,1,1825.042,26.870,2.635
1825,2,1825.125,26.889,1.915
1825,3,1825.208,27.316,1.505
1825,4,1825.292,27.225,2.224
1825,5,1825.375,27.095,1.225
1825,6,1825.458,27.294,0.832
1825,7,1825.542,26.944,3.052
1825,8,1825.625,26.276,2.538
1825,9,1825.708,25.736,1.633
1825,10,1825.792,26.217,1.318
1825,11,1825.875,26.876,3.427
1825,12,1825.958,26.128,1.362
1826,1,1826.042,25.934,1.646
1826,2,1826.125,27.026,1.510
1826,3,1826.208,27.155,1.809
1826,4,1826.292,27.617,2.724
1826,5,1826.375,27.522,1.293
1826,6,1826.458,26.675,1.771
1826,7,1826.542,27.083,1.314
1826,8,1826.625,26.141,1.658
1826,9,1826.708,26.105,2.020
1826,10,1826.792,25.671,2.365
1826,11,1826.875,26.404,1.497
1826,12,1826.958,27.211,1.617
1827,1,1827.042,26.209,2.508
1827,2,1827.125,28.380,2.348
1827,3,1827.208,27.895,1.912
1827,4,1827.292,28.354,2.203
1827,5,1827.375,27.532,1.806
1827,6,1827.458,27.099,0.908
1827,7,1827.542,27.537,0.939
1827,8,1827.625,26.616,1.602
1827,9,1827.708,25.899,1.165
1827,10,1827.792,25.939,0.904
1827,11,1827.875,26.982,1.069
1827,12,1827.958,27.196,2.771
1828,1,1828.042,28.018,3.548
1828,2,1828.125,28.439,1.955
1828,3,1828.208,26.954,1.096
1828,4,1828.292,26.834,2.070
1828,5,1828.375,27.268,2.100
1828,6,1828.458,27.814,1.960
1828,7,1828.542,27.179,0.994
1828,8,1828.625,26.940,1.371
1828,9,1828.708,25.778,1.385
1828,10,1828.792,25.994,1.735
1828,11,1828.875,27.097,2.505
1828,12,1828.958,27.856,5.671
1829,1,1829.042,26.138,3.308
1829,2,1829.125,25.968,2.284
1829,3,1829.208,25.563,2.137
1829,4,1829.292,26.693,1.331
1829,5,1829.375,26.781,2.783
1829,6,1829.458,26.585,2.429
1829,7,1829.542,26.902,1.328
1829,8,1829.625,26.670,1.675
1829,9,1829.708,25.941,1.516
1829,10,1829.792,26.012,2.189
1829,11,1829.875,25.578,1.487
1829,12,1829.958,26.781,3.440
1830,1,1830.042,27.366,2.312
1830,2,1830.125,27.490,1.648
1830,3,1830.208,26.444,1.845
1830,4,1830.292,27.037,1.128
1830,5,1830.375,26.541,1.275
1830,6,1830.458,26.936,2.138
1830,7,1830.542,27.602,2.345
1830,8,1830.625,26.723,1.681
1830,9,1830.708,25.919,1.399
1830,10,1830.792,25.867,1.877
1830,11,1830.875,28.582,1.635
1830,12,1830.958,28.330,1.760
1831,1,1831.042,25.914,2.210
1831,2,1831.125,25.868,3.111
1831,3,1831.208,26.466,1.470
1831,4,1831.292,26.712,1.213
1831,5,1831.375,26.332,1.533
1831,6,1831.458,26.680,2.360
1831,7,1831.542,26.446,1.649
1831,8,1831.625,25.989,1.518
1831,9,1831.708,25.683,1.538
1831,10,1831.792,25.842,1.841
1831,11,1831.875,25.935,1.995
1831,12,1831.958,25.045,1.677
1832,1,1832.042,26.167,1.866
1832,2,1832.125,27.352,2.716
1832,3,1832.208,25.951,1.430
1832,4,1832.292,26.178,2.087
1832,5,1832.375,26.658,1.480
1832,6,1832.458,26.293,1.424
1832,7,1832.542,26.127,2.669
1832,8,1832.625,25.079,2.606
1832,9,1832.708,25.300,1.443
1832,10,1832.792,25.730,1.619
1832,11,1832.875,25.108,2.205
1832,12,1832.958,24.394,3.466
1833,1,1833.042,26.315,3.018
1833,2,1833.125,26.857,1.910
1833,3,1833.208,25.909,2.540
1833,4,1833.292,26.161,2.198
1833,5,1833.375,26.182,1.465
1833,6,1833.458,26.832,1.184
1833,7,1833.542,26.677,1.754
1833,8,1833.625,26.383,1.548
1833,9,1833.708,26.325,1.614
1833,10,1833.792,25.382,1.282
1833,11,1833.875,26.708,2.460
1833,12,1833.958,25.513,3.315
1834,1,1834.042,24.939,1.300
1834,2,1834.125,26.947,2.664
1834,3,1834.208,27.203,1.725
1834,4,1834.292,26.385,1.723
1834,5,1834.375,26.780,1.202
1834,6,1834.458,27.202,1.606
1834,7,1834.542,27.167,1.762
1834,8,1834.625,26.450,1.465
1834,9,1834.708,26.437,1.591
1834,10,1834.792,26.292,1.406
1834,11,1834.875,26.804,1.715
1834,12,1834.958,26.372,2.444
1835,1,1835.042,26.168,3.146
1835,2,1835.125,25.507,3.201
1835,3,1835.208,25.632,1.442
1835,4,1835.292,26.707,1.130
1835,5,1835.375,26.916,1.626
1835,6,1835.458,26.486,1.559
1835,7,1835.542,26.303,1.306
1835,8,1835.625,26.158,1.568
1835,9,1835.708,24.970,1.283
1835,10,1835.792,25.532,1.244
1835,11,1835.875,26.570,1.734
1835,12,1835.958,24.969,3.039
1836,1,1836.042,26.105,2.692
1836,2,1836.125,26.001,1.828
1836,3,1836.208,26.664,2.065
1836,4,1836.292,26.301,1.745
1836,5,1836.375,26.207,1.611
1836,6,1836.458,26.210,1.626
1836,7,1836.542,26.698,1.642
1836,8,1836.625,26.312,2.686
1836,9,1836.708,26.500,2.063
1836,10,1836.792,25.910,1.860
1836,11,1836.875,23.782,2.730
1836,12,1836.958,25.665,2.119
1837,1,1837.042,25.488,2.228
1837,2,1837.125,25.989,2.557
1837,3,1837.208,25.576,1.324
1837,4,1837.292,25.282,1.439
1837,5,1837.375,26.018,2.156
1837,6,1837.458,25.926,1.455
1837,7,1837.542,27.201,1.320
1837,8,1837.625,26.458,1.987
1837,9,1837.708,25.809,1.206
