# Monthly average temperature data for Uganda.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1892,1,1892.042,21.252,1.988
1892,2,1892.125,22.334,0.741
1892,3,1892.208,22.484,1.121
1892,4,1892.292,22.775,0.799
1892,5,1892.375,22.854,0.986
1892,6,1892.458,23.196,1.038
1892,7,1892.542,22.691,0.690
1892,8,1892.625,22.389,0.678
1892,9,1892.708,22.277,0.778
1892,10,1892.792,22.498,0.748
1892,11,1892.875,22.290,0.982
1892,12,1892.958,22.435,0.856
1893,1,1893.042,21.489,0.855
1893,2,1893.125,21.926,0.741
1893,3,1893.208,22.563,0.908
1893,4,1893.292,22.688,0.803
1893,5,1893.375,21.445,1.903
1893,6,1893.458,21.786,1.959
1893,7,1893.542,22.284,1.492
1893,8,1893.625,21.998,1.330
1893,9,1893.708,22.416,0.860
1893,10,1893.792,22.787,0.551
1893,11,1893.875,22.255,0.562
1893,12,1893.958,23.029,1.266
1894,1,1894.042,22.334,0.757
1894,2,1894.125,23.011,0.913
1894,3,1894.208,22.374,0.883
1894,4,1894.292,22.095,0.614
1894,5,1894.375,22.671,0.648
1894,6,1894.458,22.139,0.848
1894,7,1894.542,22.381,0.655
1894,8,1894.625,22.829,0.803
1894,9,1894.708,23.111,1.069
1894,10,1894.792,23.036,0.638
1894,11,1894.875,22.819,1.084
1894,12,1894.958,23.051,1.140
1895,1,1895.042,22.637,1.051
1895,2,1895.125,21.733,0.987
1895,3,1895.208,22.787,0.553
1895,4,1895.292,22.421,0.780
1895,5,1895.375,22.829,0.799
1895,6,1895.458,22.520,0.728
1895,7,1895.542,23.094,0.750
1895,8,1895.625,22.817,0.868
1895,9,1895.708,22.499,0.583
1895,10,1895.792,22.853,0.985
1895,11,1895.875,22.680,0.805
1895,12,1895.958,22.642,0.684
1896,1,1896.042,22.838,0.848
1896,2,1896.125,22.663,0.779
1896,3,1896.208,22.279,0.810
1896,4,1896.292,22.679,1.118
1896,5,1896.375,22.755,0.687
1896,6,1896.458,22.891,0.783
1896,7,1896.542,22.854,0.724
1896,8,1896.625,22.477,0.633
