# Monthly average temperature data for Ukraine.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,8.437,2.773
1750,2,1750.125,7.948,3.009
1750,4,1750.292,7.929,2.675
1750,5,1750.375,6.319,2.676
1750,6,1750.458,7.687,2.691
1750,7,1750.542,8.474,2.752
1750,8,1750.625,8.595,2.702
1750,10,1750.792,5.463,2.671
1750,11,1750.875,2.459,2.722
1750,12,1750.958,4.123,2.800
1751,1,1751.042,6.482,2.801
1751,2,1751.125,4.418,2.840
1751,3,1751.208,9.292,2.740
1751,4,1751.292,6.360,2.648
1751,5,1751.375,6.900,2.660
1751,6,1751.458,6.831,2.699
1751,7,1751.542,9.012,2.730
1751,8,1751.625,8.324,2.657
1751,9,1751.708,7.358,2.641
1751,10,1751.792,5.545,2.470
1751,11,1751.875,4.414,2.496
1751,12,1751.958,5.728,2.690
1752,1,1752.042,5.692,2.668
1752,2,1752.125,9.549,2.590
1752,3,1752.208,9.103,2.460
1752,4,1752.292,6.661,2.482
1752,5,1752.375,7.377,2.429
1752,6,1752.458,8.273,2.403
1752,7,1752.542,9.251,2.473
1752,8,1752.625,7.302,2.566
1752,10,1752.792,7.011,2.454
1752,11,1752.875,7.654,2.476
1752,12,1752.958,6.773,2.590
1753,1,1753.042,7.370,2.588
1753,2,1753.125,6.627,2.684
1753,3,1753.208,9.648,2.577
1753,4,1753.292,7.491,2.639
1753,5,1753.375,7.887,2.412
1753,6,1753.458,7.556,2.564
1753,7,1753.542,7.625,2.601
1753,8,1753.625,6.942,2.503
1753,9,1753.708,7.256,2.452
1753,10,1753.792,7.648,2.464
1753,11,1753.875,6.438,2.459
1753,12,1753.958,2.793,2.792
1754,1,1754.042,7.415,2.597
1754,2,1754.125,5.301,2.684
1754,3,1754.208,6.624,2.484
1754,4,1754.292,9.762,2.503
1754,5,1754.375,8.476,2.469
1754,6,1754.458,8.497,2.501
1754,7,1754.542,7.669,2.654
1754,8,1754.625,6.517,2.561
1754,9,1754.708,6.553,2.454
