# Monthly average temperature data for United Arab Emirates.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1880,8,1880.625,27.212,1.371
1880,9,1880.708,27.556,1.428
1880,10,1880.792,27.184,1.105
1880,11,1880.875,27.380,0.845
1880,12,1880.958,27.988,1.165
1881,1,1881.042,28.392,1.000
1881,2,1881.125,28.208,0.982
1881,3,1881.208,27.915,1.268
1881,4,1881.292,27.493,0.940
1881,5,1881.375,28.338,1.112
1881,6,1881.458,27.750,1.503
1881,7,1881.542,28.069,1.064
1881,8,1881.625,27.916,1.267
1881,9,1881.708,27.618,1.223
1881,10,1881.792,27.821,1.033
1881,11,1881.875,27.264,0.924
1881,12,1881.958,27.317,1.009
1882,1,1882.042,27.818,1.012
1882,2,1882.125,26.488,1.317
1882,3,1882.208,26.400,1.081
1882,4,1882.292,27.377,0.944
1882,5,1882.375,27.157,1.006
1882,6,1882.458,27.465,1.027
1882,7,1882.542,26.335,1.093
1882,8,1882.625,27.182,1.077
1882,9,1882.708,27.225,0.864
1882,10,1882.792,27.256,0.919
1882,11,1882.875,26.074,0.911
1882,12,1882.958,28.102,1.321
1883,1,1883.042,27.053,0.978
1883,2,1883.125,26.819,1.296
1883,3,1883.208,27.360,1.019
1883,4,1883.292,27.610,1.092
1883,5,1883.375,27.649,0.970
1883,6,1883.458,28.460,0.830
1883,7,1883.542,26.749,1.320
1883,8,1883.625,26.767,1.270
1883,9,1883.708,27.072,0.888
1883,10,1883.792,27.601,0.893
1883,11,1883.875,26.073,0.927
1883,12,1883.958,27.363,0.903
1884,1,1884.042,27.512,0.867
1884,2,1884.125,26.506,1.027
1884,3,1884.208,27.100,1.013
1884,4,1884.292,27.333,0.826
1884,5,1884.375,26.641,0.962
1884,6,1884.458,27.179,0.838
1884,7,1884.542,27.171,1.148
1884,8,1884.625,27.473,0.810
1884,9,1884.708,27.977,1.337
1884,10,1884.792,27.079,0.887
1884,11,1884.875,26.606,1.077
1884,12,1884.958,27.381,1.035
1885,1,1885.042,26.353,1.420
1885,2,1885.125,26.494,1.224
1885,3,1885.208,26.798,0.898
1885,4,1885.292,26.161,1.214
1885,5,1885.375,27.543,0.871
1885,6,1885.458,27.343,1.143
1885,7,1885.542,27.902,1.220
1885,8,1885.625,27.821,1.147
1885,9,1885.708,27.248,1.093
1885,10,1885.792,27.220,1.304
1885,11,1885.875,27.856,0.895
1885,12,1885.958,27.413,1.082
