# Monthly average temperature data for United Kingdom.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1750,1,1750.042,8.231,1.850
1750,2,1750.125,10.715,2.271
1750,3,1750.208,10.777,2.718
1750,4,1750.292,9.004,1.586
1750,5,1750.375,8.398,1.395
1750,6,1750.458,8.388,1.521
1750,7,1750.542,9.757,1.596
1750,8,1750.625,8.859,1.473
1750,9,1750.708,8.675,2.108
1750,10,1750.792,5.826,1.404
1750,11,1750.875,4.965,1.387
1750,12,1750.958,6.539,1.550
1751,1,1751.042,8.305,1.651
1751,2,1751.125,6.087,1.854
1751,3,1751.208,9.660,1.644
1751,4,1751.292,7.873,1.418
1751,5,1751.375,7.655,1.521
1751,6,1751.458,8.103,1.527
1751,7,1751.542,8.862,1.631
1751,8,1751.625,8.552,1.386
1751,9,1751.708,7.289,1.362
1751,10,1751.792,6.526,1.672
1751,11,1751.875,6.346,1.644
1751,12,1751.958,7.569,1.863
1752,1,1752.042,7.929,1.555
1752,2,1752.125,9.702,1.874
1752,3,1752.208,9.142,1.553
1752,4,1752.292,7.730,1.552
1752,5,1752.375,7.979,1.585
1752,6,1752.458,9.607,1.381
1752,7,1752.542,9.213,1.569
1752,8,1752.625,8.437,1.698
1752,10,1752.792,7.447,1.601
1752,11,1752.875,9.099,1.590
1752,12,1752.958,8.556,1.688
1753,1,1753.042,6.721,2.160
1753,2,1753.125,8.742,2.257
1753,3,1753.208,10.166,1.847
1753,4,1753.292,8.534,1.673
1753,5,1753.375,8.701,1.399
1753,6,1753.458,9.370,1.732
1753,7,1753.542,8.684,1.799
1753,8,1753.625,7.636,1.589
1753,9,1753.708,8.257,1.390
1753,10,1753.792,8.210,1.479
1753,11,1753.875,7.189,1.545
1753,12,1753.958,6.668,4.202
1754,1,1754.042,8.458,1.966
1754,2,1754.125,7.419,2.180
1754,3,1754.208,6.228,1.509
1754,4,1754.292,8.935,1.631
1754,5,1754.375,9.689,1.410
1754,6,1754.458,8.450,1.607
1754,7,1754.542,7.767,1.847
1754,8,1754.625,8.280,1.681
1754,9,1754.708,7.623,1.695
1754,10,1754.792,8.577,1.582
1754,11,1754.875,8.693,2.360
1754,12,1754.958,8.112,1.774
1755,1,1755.042,5.995,1.797
1755,2,1755.125,5.959,2.151
1755,3,1755.208,7.082,1.782
1755,4,1755.292,10.485,1.735
1755,5,1755.375,8.186,1.500
1755,6,1755.458,10.273,1.895
1755,7,1755.542,8.967,2.348
1755,8,1755.625,7.099,1.638
1755,9,1755.708,7.212,1.499
1755,10,1755.792,8.159,1.292
1755,11,1755.875,7.923,2.208
1755,12,1755.958,8.030,1.541
1756,1,1756.042,10.768,1.881
1756,2,1756.125,11.169,4.481
1756,3,1756.208,8.584,2.606
1756,4,1756.292,7.529,2.560
1756,5,1756.375,7.790,4.702
1756,6,1756.458,9.658,2.003
1756,7,1756.542,9.209,6.330
1756,8,1756.625,7.582,3.178
1756,9,1756.708,8.786,1.604
1756,10,1756.792,7.089,9.407
1756,11,1756.875,6.293,1.436
1756,12,1756.958,5.281,2.066
1757,1,1757.042,5.794,2.102
1757,2,1757.125,9.014,4.274
1757,3,1757.208,8.080,3.792
1757,4,1757.292,9.237,1.631
1757,5,1757.375,8.526,1.488
1757,6,1757.458,9.904,2.433
1757,7,1757.542,11.572,3.065
1757,8,1757.625,9.610,4.484
1757,9,1757.708,8.456,5.193
1757,10,1757.792,4.911,7.083
1757,11,1757.875,8.651,7.009
1757,12,1757.958,6.975,1.829
1758,1,1758.042,5.576,6.972
1758,2,1758.125,8.220,5.164
1758,3,1758.208,8.162,1.812
1758,4,1758.292,7.273,2.745
1758,5,1758.375,9.513,7.168
1758,6,1758.458,8.740,3.838
1758,7,1758.542,7.045,4.795
1758,8,1758.625,8.055,6.947
1758,9,1758.708,6.857,3.271
1758,10,1758.792,5.953,1.695
1758,11,1758.875,7.975,2.010
1758,12,1758.958,7.549,1.608
1759,1,1759.042,10.668,2.425
1759,2,1759.125,11.067,5.827
1759,3,1759.208,9.255,4.050
1759,4,1759.292,8.422,4.039
