# Monthly average temperature data for United States.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1768,9,1768.708,7.604,2.432
1768,10,1768.792,6.972,2.829
1768,11,1768.875,7.200,3.599
1768,12,1768.958,7.812,4.940
1769,1,1769.042,8.640,5.222
1769,2,1769.125,7.637,3.348
1769,3,1769.208,8.331,3.470
1769,4,1769.292,9.327,3.991
1769,5,1769.375,10.381,4.113
1769,6,1769.458,10.550,2.042
1769,7,1769.542,8.788,2.770
1769,8,1769.625,8.646,2.960
1774,10,1774.792,8.004,3.408
1774,11,1774.875,6.080,3.600
1774,12,1774.958,5.826,3.756
1775,1,1775.042,10.969,4.360
1775,2,1775.125,11.695,4.341
1775,3,1775.208,11.063,2.591
1775,4,1775.292,7.985,2.049
1775,5,1775.375,8.973,2.497
1775,6,1775.458,7.408,3.982
1775,7,1775.542,8.657,2.059
1775,8,1775.625,9.078,4.459
1775,9,1775.708,7.410,2.958
1775,10,1775.792,9.101,2.734
1775,11,1775.875,11.038,3.779
1775,12,1775.958,6.603,2.835
1776,1,1776.042,5.748,5.891
1776,2,1776.125,9.631,4.549
1776,3,1776.208,7.612,3.984
1776,4,1776.292,7.498,2.127
1776,6,1776.458,9.656,2.026
1776,7,1776.542,8.072,1.972
1776,8,1776.625,9.750,1.908
1776,9,1776.708,7.327,2.328
1776,10,1776.792,7.129,2.285
1776,11,1776.875,8.297,4.744
1776,12,1776.958,9.908,3.116
1777,1,1777.042,12.605,3.100
1777,2,1777.125,10.082,3.914
1777,3,1777.208,8.513,2.700
1777,4,1777.292,6.137,2.308
1777,5,1777.375,8.314,2.701
1777,6,1777.458,7.246,2.864
1777,7,1777.542,6.631,2.182
1777,8,1777.625,7.482,1.799
1777,9,1777.708,7.676,2.489
1777,10,1777.792,5.684,2.225
1777,11,1777.875,7.354,3.798
1777,12,1777.958,7.782,4.248
1778,1,1778.042,8.684,4.489
1778,5,1778.375,8.444,2.236
1778,6,1778.458,6.685,1.735
1778,10,1778.792,6.828,2.363
1778,11,1778.875,6.121,4.399
1778,12,1778.958,6.777,4.245
1779,1,1779.042,7.656,4.061
1779,2,1779.125,10.043,4.005
1779,3,1779.208,9.720,3.041
1781,9,1781.708,6.810,2.775
1781,10,1781.792,7.979,2.121
