# Monthly average temperature data for Uruguay.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1855,5,1855.375,16.919,1.535
1855,6,1855.458,16.496,1.801
1855,7,1855.542,16.247,1.529
1855,8,1855.625,16.995,1.506
1855,9,1855.708,16.401,1.494
1855,10,1855.792,16.112,1.488
1855,11,1855.875,16.528,1.500
1855,12,1855.958,15.101,1.699
1856,1,1856.042,17.150,1.037
1856,2,1856.125,16.286,1.518
1856,3,1856.208,16.556,2.173
1856,4,1856.292,17.621,1.718
1856,5,1856.375,16.007,1.044
1856,6,1856.458,18.084,1.888
1856,7,1856.542,16.929,1.480
1856,8,1856.625,17.130,2.042
1856,9,1856.708,16.721,1.806
1856,10,1856.792,16.547,1.435
1856,11,1856.875,17.736,1.601
1856,12,1856.958,16.870,1.656
1857,1,1857.042,16.616,1.493
1857,2,1857.125,16.256,1.599
1857,3,1857.208,18.234,3.869
1857,4,1857.292,16.417,2.130
1857,5,1857.375,17.172,2.623
1857,6,1857.458,19.232,3.447
1857,7,1857.542,18.719,3.425
1857,8,1857.625,17.709,3.054
1857,9,1857.708,17.618,3.238
1857,10,1857.792,16.969,2.456
1857,11,1857.875,19.105,2.755
1857,12,1857.958,16.685,0.939
1858,1,1858.042,18.156,3.584
1858,2,1858.125,18.051,2.593
1858,3,1858.208,17.032,1.155
1858,4,1858.292,18.388,1.548
1858,5,1858.375,16.419,1.014
1858,6,1858.458,16.489,0.897
1858,7,1858.542,15.717,1.081
1858,8,1858.625,17.473,1.303
1858,9,1858.708,17.562,2.746
1858,10,1858.792,15.915,1.372
1858,11,1858.875,14.942,3.609
1858,12,1858.958,14.688,2.140
1859,1,1859.042,14.836,2.489
1859,2,1859.125,15.271,3.184
1859,3,1859.208,16.652,1.972
1859,4,1859.292,17.817,1.627
1859,5,1859.375,17.302,1.161
1859,6,1859.458,17.917,0.998
1859,7,1859.542,17.927,1.298
1859,8,1859.625,17.237,1.613
1859,9,1859.708,16.735,1.006
1859,10,1859.792,17.402,1.899
1859,11,1859.875,16.442,1.681
1859,12,1859.958,16.998,1.281
1860,1,1860.042,17.143,1.612
1860,2,1860.125,16.816,1.031
1860,3,1860.208,15.292,1.994
1860,4,1860.292,15.993,3.704
1860,5,1860.375,14.931,2.712
1860,6,1860.458,16.266,1.542
1860,7,1860.542,17.483,1.404
1860,8,1860.625,18.186,1.102
1860,9,1860.708,17.274,2.284
1860,10,1860.792,17.352,1.066
1860,11,1860.875,16.517,0.788
1860,12,1860.958,15.723,1.230
1861,1,1861.042,16.222,2.060
1861,2,1861.125,17.207,1.559
1861,3,1861.208,17.299,1.947
1861,4,1861.292,18.216,1.680
1861,5,1861.375,15.206,1.405
1861,6,1861.458,16.621,0.918
1861,7,1861.542,15.886,1.017
1861,8,1861.625,19.289,2.245
1861,9,1861.708,16.858,0.885
1861,10,1861.792,15.423,0.878
1861,11,1861.875,16.295,1.615
1861,12,1861.958,16.528,2.738
1862,1,1862.042,16.491,3.136
1862,2,1862.125,16.391,1.300
1862,3,1862.208,18.013,1.392
1862,4,1862.292,18.840,1.857
1862,5,1862.375,18.121,1.321
1862,6,1862.458,18.702,2.243
1862,7,1862.542,14.977,1.985
1862,8,1862.625,15.688,1.078
1862,9,1862.708,15.530,0.822
1862,10,1862.792,15.976,1.816
1862,11,1862.875,16.421,1.292
1862,12,1862.958,16.149,1.616
1863,1,1863.042,15.928,1.657
1863,2,1863.125,16.930,2.568
1863,3,1863.208,15.342,1.391
1863,4,1863.292,16.840,1.437
1863,5,1863.375,15.581,0.908
1863,6,1863.458,17.246,1.777
1863,7,1863.542,16.013,1.227
1863,8,1863.625,16.647,1.361
1863,9,1863.708,15.999,1.361
1863,10,1863.792,16.052,0.812
1863,11,1863.875,17.069,1.306
1863,12,1863.958,17.114,2.457
1864,1,1864.042,15.988,1.698
1864,2,1864.125,17.403,2.065
1864,3,1864.208,17.964,2.176
1864,4,1864.292,16.931,2.052
1864,5,1864.375,17.564,1.327
1864,6,1864.458,17.503,1.685
1864,7,1864.542,16.216,1.663
1864,8,1864.625,16.075,2.046
1864,9,1864.708,16.262,1.656
1864,10,1864.792,17.007,1.206
1864,11,1864.875,17.357,1.382
1864,12,1864.958,17.002,1.014
1865,1,1865.042,16.181,1.788
1865,2,1865.125,17.277,0.836
1865,3,1865.208,17.044,1.015
1865,4,1865.292,17.556,1.109
1865,5,1865.375,16.581,0.905
1865,6,1865.458,19.139,2.680
1865,7,1865.542,17.496,1.336
1865,8,1865.625,16.883,1.284
1865,9,1865.708,17.070,0.999
1865,10,1865.792,18.548,1.110
1865,11,1865.875,18.027,0.978
1865,12,1865.958,17.826,1.816
1866,1,1866.042,17.243,1.649
1866,2,1866.125,16.617,1.848
1866,3,1866.208,18.442,2.668
1866,4,1866.292,17.129,1.572
1866,5,1866.375,17.738,1.504
1866,6,1866.458,16.469,1.015
1866,7,1866.542,17.582,0.907
1866,8,1866.625,17.052,1.074
1866,9,1866.708,17.657,1.050
1866,10,1866.792,16.781,1.141
1866,11,1866.875,16.481,1.451
1866,12,1866.958,16.996,1.651
1867,1,1867.042,16.855,1.639
1867,2,1867.125,16.740,2.086
1867,3,1867.208,16.723,1.123
1867,4,1867.292,15.759,2.965
1867,5,1867.375,17.362,1.664
1867,6,1867.458,16.824,0.793
1867,7,1867.542,16.392,1.231
1867,8,1867.625,17.366,1.327
1867,9,1867.708,17.281,0.961
1867,10,1867.792,17.189,0.948
1867,11,1867.875,18.025,1.409
1867,12,1867.958,17.001,1.599
1868,1,1868.042,17.713,2.092
1868,2,1868.125,17.338,1.725
1868,3,1868.208,16.964,1.844
1868,4,1868.292,17.388,1.242
1868,5,1868.375,17.960,1.072
1868,6,1868.458,18.341,1.132
1868,7,1868.542,16.535,0.958
1868,8,1868.625,17.465,1.406
1868,9,1868.708,17.083,1.278
1868,10,1868.792,18.610,2.966
