# Monthly average temperature data for Uzbekistan.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1844,5,1844.375,11.252,2.711
1844,6,1844.458,12.314,2.715
1844,7,1844.542,13.013,2.665
1844,8,1844.625,11.833,2.776
1844,9,1844.708,11.018,2.646
1844,10,1844.792,11.728,2.637
1844,11,1844.875,9.557,2.727
1844,12,1844.958,8.215,2.756
1845,1,1845.042,11.892,3.260
1845,2,1845.125,10.556,3.045
1845,3,1845.208,12.822,2.824
1845,4,1845.292,12.262,2.745
1845,5,1845.375,12.509,2.711
1845,6,1845.458,12.295,2.695
1845,7,1845.542,11.982,2.661
1845,8,1845.625,12.505,2.677
1845,9,1845.708,11.460,2.851
1845,10,1845.792,11.569,2.870
1845,11,1845.875,11.325,2.826
1845,12,1845.958,9.108,3.125
1846,1,1846.042,12.207,3.661
1846,2,1846.125,16.286,2.785
1846,3,1846.208,13.077,2.647
1846,4,1846.292,10.363,2.914
1846,5,1846.375,12.436,2.666
1846,6,1846.458,12.782,2.830
1846,7,1846.542,12.601,2.871
1846,8,1846.625,11.809,2.591
1846,9,1846.708,11.857,2.609
1846,10,1846.792,10.367,2.787
1846,11,1846.875,11.095,2.887
1846,12,1846.958,13.770,2.691
1847,1,1847.042,12.035,2.898
1847,2,1847.125,15.402,2.789
1847,3,1847.208,10.801,3.260
1847,4,1847.292,12.706,2.886
1847,5,1847.375,11.602,2.810
1847,6,1847.458,11.551,2.900
1847,7,1847.542,13.189,2.998
1848,1,1848.042,7.955,2.832
1848,2,1848.125,11.726,2.654
1848,3,1848.208,11.492,2.356
1848,4,1848.292,12.377,2.524
1848,5,1848.375,12.126,2.573
1848,6,1848.458,12.327,2.599
1848,7,1848.542,13.177,2.428
1848,8,1848.625,12.493,2.360
1848,9,1848.708,11.301,2.346
1848,10,1848.792,11.662,2.361
1848,11,1848.875,11.287,2.272
1848,12,1848.958,9.129,2.595
1849,1,1849.042,13.620,2.962
1849,2,1849.125,13.045,2.526
1849,3,1849.208,13.094,2.535
1849,4,1849.292,10.729,2.747
1849,5,1849.375,11.289,2.355
1849,6,1849.458,11.913,2.396
1849,7,1849.542,13.493,2.480
1849,8,1849.625,12.856,2.493
1849,9,1849.708,10.598,2.220
1849,10,1849.792,12.740,2.283
1849,11,1849.875,10.936,2.491
1849,12,1849.958,10.145,2.347
1850,1,1850.042,8.998,2.757
1850,2,1850.125,13.337,3.046
1850,3,1850.208,13.445,2.826
1850,4,1850.292,10.927,2.311
1850,5,1850.375,10.950,2.241
1850,6,1850.458,11.642,2.343
1850,7,1850.542,13.234,2.255
1850,8,1850.625,12.254,2.253
