# Monthly average temperature data for Venezuela.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,25.136,1.168
1824,2,1824.125,24.634,2.345
1824,3,1824.208,25.122,0.897
1824,4,1824.292,25.635,1.162
1824,5,1824.375,25.105,1.098
1824,6,1824.458,25.212,2.055
1824,7,1824.542,25.321,1.678
1824,8,1824.625,24.465,1.079
1824,9,1824.708,24.502,2.140
1824,10,1824.792,23.963,0.788
1824,11,1824.875,24.658,0.872
1824,12,1824.958,25.367,1.968
1825,1,1825.042,25.217,1.727
1825,2,1825.125,24.900,1.005
1825,3,1825.208,25.281,1.214
1825,4,1825.292,26.140,0.957
1825,5,1825.375,25.347,1.134
1825,6,1825.458,25.544,1.063
1825,7,1825.542,24.959,1.801
1825,8,1825.625,24.725,1.802
1825,9,1825.708,24.168,1.667
1825,10,1825.792,24.306,1.103
1825,11,1825.875,24.992,2.089
1825,12,1825.958,24.889,1.155
1826,1,1826.042,25.122,0.915
1826,2,1826.125,23.946,1.261
1826,3,1826.208,24.352,1.402
1826,4,1826.292,25.172,1.426
1826,5,1826.375,25.623,0.926
1826,6,1826.458,25.170,1.438
1826,7,1826.542,25.284,1.514
1826,8,1826.625,24.477,1.352
1826,9,1826.708,24.150,1.093
1826,10,1826.792,24.405,1.206
1826,11,1826.875,25.558,1.312
1826,12,1826.958,26.008,1.524
1827,1,1827.042,25.780,2.633
1827,2,1827.125,25.312,2.053
1827,3,1827.208,25.596,1.541
1827,4,1827.292,26.119,1.938
1827,5,1827.375,25.569,1.524
1827,7,1827.542,25.439,1.093
1827,8,1827.625,24.703,1.637
1827,9,1827.708,24.312,1.254
1827,10,1827.792,24.381,1.517
1827,11,1827.875,25.329,0.980
1827,12,1827.958,24.850,1.493
1828,1,1828.042,23.850,1.219
1828,2,1828.125,23.918,1.519
1828,3,1828.208,25.100,1.303
1828,4,1828.292,25.504,1.893
1828,5,1828.375,25.397,1.403
1828,6,1828.458,25.533,1.511
1828,7,1828.542,25.368,1.315
1828,8,1828.625,25.059,0.779
1828,9,1828.708,23.703,1.039
1828,11,1828.875,25.101,1.054
1828,12,1828.958,24.301,2.219
1829,1,1829.042,24.482,1.455
1829,2,1829.125,24.168,1.441
1829,3,1829.208,25.042,0.940
1829,4,1829.292,25.160,1.045
