# Monthly average temperature data for Vietnam.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1840,1,1840.042,24.053,1.453
1840,2,1840.125,23.289,1.125
1840,3,1840.208,22.815,2.109
1840,4,1840.292,22.952,1.289
1840,5,1840.375,23.495,1.333
1840,6,1840.458,23.536,1.269
1840,7,1840.542,24.004,1.312
1840,8,1840.625,23.298,1.410
1840,9,1840.708,23.308,1.184
1840,11,1840.875,22.796,1.677
1840,12,1840.958,22.502,1.301
1841,1,1841.042,23.242,1.633
1841,2,1841.125,23.439,1.626
1841,3,1841.208,22.651,2.151
1841,4,1841.292,23.119,2.164
1841,5,1841.375,23.392,1.083
1841,6,1841.458,23.774,1.186
1841,7,1841.542,24.213,1.184
1841,8,1841.625,24.283,1.570
1841,9,1841.708,23.301,1.215
1841,10,1841.792,23.977,1.411
1841,11,1841.875,23.265,1.790
1841,12,1841.958,23.686,2.112
1842,1,1842.042,23.874,1.900
1842,2,1842.125,24.269,1.680
1842,3,1842.208,23.719,1.269
1842,4,1842.292,23.380,1.308
1842,5,1842.375,23.110,1.086
1842,6,1842.458,23.380,1.599
1842,7,1842.542,23.053,1.180
1842,8,1842.625,23.381,1.140
1842,9,1842.708,23.079,1.122
1842,10,1842.792,22.793,1.056
1842,11,1842.875,22.653,1.237
1842,12,1842.958,23.835,1.301
1843,1,1843.042,24.280,1.207
1843,2,1843.125,24.226,1.713
1843,3,1843.208,23.047,1.208
1843,4,1843.292,23.265,1.165
1843,5,1843.375,23.033,1.605
1843,6,1843.458,23.681,1.389
1843,7,1843.542,23.434,1.018
1843,8,1843.625,23.535,1.108
1843,9,1843.708,23.174,1.065
1843,10,1843.792,23.200,1.143
1843,11,1843.875,23.040,1.318
1843,12,1843.958,23.420,2.154
1844,1,1844.042,22.950,1.784
1844,2,1844.125,22.996,1.238
1844,3,1844.208,23.699,1.531
1844,4,1844.292,22.969,1.202
1844,5,1844.375,22.936,1.327
1844,6,1844.458,23.297,1.022
1844,7,1844.542,23.096,1.069
1844,8,1844.625,22.817,1.163
1844,9,1844.708,22.640,1.162
1844,10,1844.792,22.949,1.251
1844,11,1844.875,22.011,1.262
1844,12,1844.958,22.524,1.551
1845,1,1845.042,23.080,2.019
1845,2,1845.125,23.075,2.063
1845,3,1845.208,22.744,1.082
1845,4,1845.292,22.237,1.867
1845,5,1845.375,22.798,1.188
1845,6,1845.458,23.245,1.134
1845,8,1845.625,23.032,1.411
