# Monthly average temperature data for Virgin Islands.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1824,1,1824.042,26.492,1.404
1824,2,1824.125,25.754,2.582
1824,3,1824.208,26.373,1.022
1824,4,1824.292,26.780,1.091
1824,5,1824.375,26.381,1.135
1824,6,1824.458,26.274,2.159
1824,7,1824.542,26.471,1.623
1824,8,1824.625,25.546,1.147
1824,9,1824.708,25.627,2.423
1824,10,1824.792,25.322,0.732
1824,11,1824.875,26.247,0.759
1824,12,1824.958,26.391,2.391
1825,1,1825.042,26.582,1.950
1825,2,1825.125,26.446,1.068
1825,3,1825.208,26.525,1.342
1825,4,1825.292,26.859,0.867
1825,5,1825.375,26.533,1.152
1825,6,1825.458,26.430,1.253
1825,7,1825.542,26.311,2.000
1825,8,1825.625,25.775,2.042
1825,9,1825.708,25.532,1.925
1825,10,1825.792,25.441,0.952
1825,11,1825.875,26.252,2.060
1825,12,1825.958,26.035,1.076
1826,1,1826.042,26.114,1.146
1826,2,1826.125,25.794,1.586
1826,3,1826.208,25.675,2.164
1826,4,1826.292,26.367,1.553
1826,5,1826.375,26.526,1.099
1826,6,1826.458,26.005,1.527
1826,7,1826.542,26.389,1.678
1826,8,1826.625,25.677,1.431
1826,9,1826.708,25.798,1.219
1826,10,1826.792,25.689,1.081
1826,11,1826.875,26.284,1.754
1826,12,1826.958,27.161,1.712
1827,1,1827.042,26.470,3.047
1827,2,1827.125,26.620,2.602
1827,3,1827.208,26.717,1.865
1827,4,1827.292,27.040,2.047
1827,5,1827.375,26.859,1.629
1827,7,1827.542,26.709,1.347
1827,8,1827.625,25.871,1.902
1827,9,1827.708,25.510,1.489
1827,10,1827.792,25.669,1.859
1827,11,1827.875,26.389,1.133
1827,12,1827.958,26.182,1.749
1828,1,1828.042,25.783,1.343
1828,2,1828.125,25.812,1.629
1828,3,1828.208,26.209,1.384
1828,4,1828.292,26.347,2.301
1828,5,1828.375,26.460,1.686
1828,6,1828.458,26.450,1.793
1828,7,1828.542,26.436,1.560
1828,8,1828.625,26.385,0.771
1828,9,1828.708,25.465,1.211
1828,11,1828.875,26.452,1.247
1828,12,1828.958,26.200,2.563
1829,1,1829.042,25.554,1.816
1829,2,1829.125,25.586,1.628
1829,3,1829.208,25.952,0.999
1829,4,1829.292,26.359,1.045
1829,5,1829.375,26.357,1.656
1829,6,1829.458,25.898,1.592
1829,7,1829.542,26.465,1.063
1829,8,1829.625,26.197,1.115
1829,9,1829.708,25.771,0.964
1829,11,1829.875,25.988,1.328
1829,12,1829.958,25.720,1.506
1852,5,1852.375,26.392,0.809
1852,6,1852.458,26.274,0.736
1852,7,1852.542,26.128,0.961
1852,8,1852.625,26.094,1.082
1852,9,1852.708,25.939,0.773
1852,10,1852.792,25.487,1.014
1852,11,1852.875,25.510,1.078
1852,12,1852.958,25.844,1.373
1853,1,1853.042,26.217,1.622
1853,2,1853.125,24.794,1.802
1853,3,1853.208,26.122,1.852
1853,4,1853.292,26.266,1.200
1853,5,1853.375,25.992,0.699
1853,6,1853.458,26.075,0.825
1853,7,1853.542,26.657,0.847
1853,8,1853.625,25.919,1.424
1853,9,1853.708,25.819,0.601
1853,10,1853.792,25.983,0.620
1853,11,1853.875,26.048,1.923
1853,12,1853.958,26.461,1.849
1854,1,1854.042,26.123,1.590
1854,2,1854.125,25.412,0.970
1854,3,1854.208,26.037,0.594
1854,4,1854.292,25.484,0.967
1854,5,1854.375,25.929,0.690
1854,6,1854.458,25.889,0.798
1854,7,1854.542,26.354,0.829
1854,8,1854.625,25.864,0.903
1854,9,1854.708,25.559,0.707
1854,10,1854.792,26.389,0.776
1854,11,1854.875,25.683,0.679
1854,12,1854.958,26.152,2.811
1855,1,1855.042,25.950,0.834
1855,2,1855.125,25.905,1.557
1855,3,1855.208,25.889,1.286
1855,4,1855.292,25.653,0.703
1855,5,1855.375,25.860,0.760
1855,6,1855.458,26.533,0.930
1855,7,1855.542,26.012,0.571
1855,8,1855.625,26.551,0.758
1855,9,1855.708,25.877,0.564
1855,10,1855.792,25.944,1.555
1855,11,1855.875,26.403,0.859
1855,12,1855.958,26.526,1.574
1856,1,1856.042,27.261,1.109
1856,2,1856.125,26.310,1.403
1856,3,1856.208,26.175,1.109
1856,4,1856.292,25.916,0.580
1856,5,1856.375,26.294,0.572
1856,6,1856.458,26.388,1.221
1856,7,1856.542,26.843,1.029
1856,8,1856.625,26.266,0.944
1856,9,1856.708,25.806,0.876
1856,10,1856.792,26.092,0.623
1856,11,1856.875,26.281,0.673
1856,12,1856.958,26.037,1.699
1857,1,1857.042,25.107,1.095
1857,2,1857.125,24.845,1.155
1857,3,1857.208,25.696,0.760
1857,4,1857.292,25.296,0.839
1857,5,1857.375,25.626,0.838
1857,6,1857.458,26.165,0.660
1857,7,1857.542,26.286,0.694
1857,8,1857.625,25.755,0.628
1857,9,1857.708,25.283,0.695
1857,10,1857.792,25.236,0.970
1857,11,1857.875,25.623,0.803
1857,12,1857.958,25.818,1.276
1858,1,1858.042,25.350,1.671
1858,2,1858.125,25.714,0.876
1858,3,1858.208,25.068,0.888
1858,4,1858.292,25.404,1.070
1858,5,1858.375,25.540,0.912
1858,6,1858.458,25.462,1.158
1858,7,1858.542,26.311,0.700
1858,8,1858.625,25.983,0.772
1858,9,1858.708,25.573,0.920
1858,10,1858.792,25.441,0.633
1858,11,1858.875,25.860,1.095
1858,12,1858.958,25.228,0.757
1859,1,1859.042,25.853,0.844
1859,2,1859.125,25.173,0.757
1859,3,1859.208,25.195,0.882
1859,4,1859.292,25.721,1.333
1859,5,1859.375,26.084,1.012
1859,6,1859.458,25.894,0.980
1859,7,1859.542,25.919,0.912
1859,8,1859.625,25.736,0.598
1859,9,1859.708,25.832,0.677
1859,10,1859.792,25.779,1.113
1859,11,1859.875,25.592,0.659
1859,12,1859.958,25.946,1.418
1860,1,1860.042,26.227,1.031
1860,2,1860.125,25.433,0.605
1860,3,1860.208,25.456,2.456
1860,4,1860.292,25.822,0.805
1860,5,1860.375,25.675,0.934
1860,6,1860.458,25.755,0.870
1860,7,1860.542,26.594,1.144
1860,8,1860.625,25.693,0.751
1860,9,1860.708,25.401,0.837
1860,10,1860.792,25.823,0.974
1860,11,1860.875,25.635,1.076
1860,12,1860.958,25.547,1.732
1861,1,1861.042,25.032,1.775
1861,2,1861.125,25.718,1.640
1861,3,1861.208,25.584,2.125
1861,4,1861.292,25.749,1.591
1861,5,1861.375,26.046,0.829
1861,6,1861.458,25.505,1.005
1861,7,1861.542,26.604,0.639
1861,8,1861.625,26.450,0.701
1861,9,1861.708,26.400,1.089
1861,10,1861.792,26.488,0.713
1861,11,1861.875,25.747,0.568
1861,12,1861.958,25.422,1.025
1862,1,1862.042,25.135,2.295
1862,2,1862.125,25.983,0.943
1862,3,1862.208,25.417,1.412
1862,4,1862.292,25.164,1.774
1862,5,1862.375,26.340,0.583
1862,6,1862.458,25.913,1.081
1862,7,1862.542,26.259,0.657
1862,8,1862.625,25.802,0.643
1862,9,1862.708,25.776,0.620
1862,10,1862.792,26.036,0.771
1862,11,1862.875,25.462,1.128
1862,12,1862.958,24.932,1.919
1863,1,1863.042,25.416,1.502
1863,2,1863.125,26.220,2.172
1863,3,1863.208,25.400,0.879
1863,4,1863.292,25.531,0.671
1863,5,1863.375,26.295,0.786
1863,6,1863.458,26.322,0.802
1863,7,1863.542,26.088,0.807
1863,8,1863.625,26.103,0.797
1863,9,1863.708,25.663,0.918
1863,10,1863.792,26.124,0.592
