# Monthly average temperature data for Western Sahara.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1849,3,1849.208,23.519,1.988
1849,4,1849.292,23.225,1.755
1849,5,1849.375,22.911,1.582
1849,6,1849.458,22.999,1.671
1849,7,1849.542,23.509,1.579
1849,8,1849.625,23.068,1.653
1849,9,1849.708,22.334,1.567
1849,10,1849.792,23.282,1.556
1849,11,1849.875,23.096,1.772
1850,1,1850.042,22.000,1.831
1850,2,1850.125,23.539,2.047
1850,3,1850.208,23.763,1.823
1850,4,1850.292,23.970,1.828
1850,5,1850.375,22.950,2.003
1850,6,1850.458,23.755,1.512
1850,7,1850.542,23.235,1.514
1850,8,1850.625,23.459,1.610
1850,9,1850.708,23.125,1.668
1850,10,1850.792,23.257,1.541
1850,11,1850.875,22.398,1.642
1850,12,1850.958,23.216,1.636
1851,1,1851.042,22.864,1.593
1851,2,1851.125,22.822,1.812
1851,3,1851.208,23.036,1.699
1851,4,1851.292,23.846,1.721
1851,5,1851.375,23.577,1.760
1851,6,1851.458,23.750,1.567
1851,7,1851.542,23.525,1.591
1851,8,1851.625,23.749,1.704
1851,9,1851.708,23.754,1.607
1851,10,1851.792,24.118,1.931
1851,11,1851.875,22.727,1.647
1851,12,1851.958,24.902,1.812
1857,9,1857.708,24.832,3.415
1858,3,1858.208,22.959,1.524
1858,4,1858.292,24.184,1.743
1858,5,1858.375,23.622,1.378
1858,6,1858.458,24.705,1.777
1858,7,1858.542,23.953,1.708
1858,8,1858.625,24.523,2.307
1858,9,1858.708,24.570,2.274
1858,11,1858.875,25.012,1.431
1858,12,1858.958,22.714,1.641
1859,1,1859.042,22.378,1.572
1859,3,1859.208,22.921,1.789
1859,4,1859.292,26.299,2.592
1859,5,1859.375,25.203,2.922
1859,6,1859.458,24.445,2.417
1859,9,1859.708,23.437,1.261
1860,1,1860.042,22.677,1.722
1860,2,1860.125,21.510,1.749
1860,3,1860.208,23.487,2.223
1860,5,1860.375,23.403,1.875
