# Monthly average temperature data for Yemen.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1880,8,1880.625,25.861,1.010
1880,9,1880.708,26.306,2.081
1880,10,1880.792,25.951,0.954
1880,11,1880.875,25.731,0.756
1880,12,1880.958,26.358,1.411
1881,1,1881.042,26.003,1.023
1881,2,1881.125,26.403,1.102
1881,3,1881.208,26.622,1.848
1881,4,1881.292,26.776,0.861
1881,5,1881.375,26.582,0.977
1881,6,1881.458,25.718,0.950
1881,7,1881.542,26.597,1.090
1881,9,1881.708,26.321,1.751
1881,10,1881.792,26.674,1.553
1881,11,1881.875,26.064,1.221
1881,12,1881.958,26.058,0.985
1882,1,1882.042,26.453,0.771
1882,2,1882.125,26.094,0.847
1882,3,1882.208,25.643,0.930
1882,4,1882.292,26.155,0.849
1882,5,1882.375,26.075,0.993
1882,6,1882.458,25.492,0.719
1882,7,1882.542,24.958,1.255
1882,8,1882.625,25.713,0.869
1882,9,1882.708,26.157,0.912
1882,10,1882.792,25.812,1.109
1882,11,1882.875,24.890,0.892
1882,12,1882.958,25.686,1.771
1883,1,1883.042,26.113,1.371
1883,2,1883.125,25.705,1.854
1883,3,1883.208,26.142,1.001
1883,4,1883.292,25.951,1.143
1883,5,1883.375,25.818,0.822
1883,6,1883.458,25.976,0.801
1883,7,1883.542,24.365,2.795
1883,8,1883.625,25.620,0.720
1883,9,1883.708,25.754,1.167
1883,10,1883.792,26.326,0.693
1883,11,1883.875,25.036,1.127
1883,12,1883.958,25.609,0.669
1884,1,1884.042,25.517,0.827
1884,2,1884.125,25.336,0.921
1884,3,1884.208,25.586,2.160
1884,4,1884.292,25.719,0.920
1884,5,1884.375,25.185,0.703
1884,6,1884.458,25.268,0.838
1884,7,1884.542,25.963,1.152
1884,8,1884.625,26.220,0.785
1884,9,1884.708,26.525,2.436
1884,10,1884.792,25.440,0.782
1884,11,1884.875,24.916,0.704
1884,12,1884.958,26.100,1.047
1885,1,1885.042,25.854,1.951
1885,2,1885.125,25.947,1.330
1885,3,1885.208,25.382,0.818
1885,4,1885.292,26.266,2.335
1885,5,1885.375,25.965,0.791
1885,11,1885.875,25.853,1.088
1885,12,1885.958,26.211,0.763
1886,1,1886.042,25.615,1.696
1886,2,1886.125,25.534,1.444
1886,3,1886.208,25.885,2.586
1886,4,1886.292,26.415,1.507
1886,5,1886.375,25.819,0.733
1886,6,1886.458,26.208,0.880
1886,7,1886.542,26.947,1.425
1886,8,1886.625,26.028,1.142
1886,9,1886.708,25.618,1.008
1886,10,1886.792,26.328,1.419
1886,11,1886.875,25.355,1.308
1886,12,1886.958,25.155,0.866
1887,1,1887.042,25.311,2.151
1887,2,1887.125,25.782,1.012
1887,3,1887.208,25.338,1.227
1887,4,1887.292,25.990,0.850
1887,5,1887.375,25.325,0.840
1887,6,1887.458,25.525,0.969
1887,7,1887.542,25.523,0.957
1887,8,1887.625,24.843,1.138
1887,9,1887.708,25.596,0.979
1887,10,1887.792,25.421,1.661
1887,11,1887.875,25.773,1.007
1887,12,1887.958,25.518,1.123
1888,1,1888.042,25.738,1.108
1888,2,1888.125,25.824,0.965
1888,3,1888.208,25.686,0.667
1888,4,1888.292,26.372,1.830
1888,5,1888.375,25.843,0.914
1888,6,1888.458,25.671,1.060
1888,7,1888.542,26.478,0.668
1888,8,1888.625,26.461,1.504
1888,9,1888.708,26.227,1.232
1888,10,1888.792,25.869,1.521
1888,11,1888.875,25.783,1.046
1888,12,1888.958,26.638,0.900
1889,1,1889.042,26.288,1.096
1889,2,1889.125,26.405,0.781
1889,3,1889.208,26.333,0.874
1889,4,1889.292,25.990,1.212
1889,5,1889.375,26.408,0.814
1889,6,1889.458,25.893,0.861
1889,7,1889.542,25.945,0.839
1889,8,1889.625,25.608,1.076
1889,9,1889.708,26.139,1.515
1889,10,1889.792,25.812,0.823
1889,11,1889.875,24.951,1.121
1889,12,1889.958,25.888,0.881
1890,1,1890.042,26.166,0.998
1890,2,1890.125,26.152,0.892
1890,3,1890.208,25.510,1.457
1890,4,1890.292,26.039,0.876
1890,5,1890.375,24.847,0.971
1890,6,1890.458,25.240,0.899
1890,7,1890.542,24.804,2.341
1890,8,1890.625,24.453,2.231
1890,9,1890.708,25.454,1.686
1890,10,1890.792,26.031,0.834
1890,11,1890.875,25.798,1.920
1890,12,1890.958,26.216,1.765
1891,1,1891.042,26.006,1.169
1891,2,1891.125,26.380,1.450
1891,3,1891.208,25.607,0.866
1891,4,1891.292,25.991,0.690
1891,5,1891.375,25.727,1.001
1891,6,1891.458,25.112,0.763
1891,7,1891.542,25.502,0.676
1891,8,1891.625,25.715,1.233
1891,9,1891.708,26.625,0.936
1891,10,1891.792,26.440,0.865
1891,11,1891.875,26.133,0.757
1891,12,1891.958,26.500,0.931
1892,1,1892.042,25.369,0.849
1892,2,1892.125,25.923,0.726
1892,3,1892.208,25.598,0.695
1892,4,1892.292,26.680,0.779
1892,5,1892.375,26.451,1.315
1892,6,1892.458,25.905,0.687
