# Monthly average temperature data for Zambia.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1889,4,1889.292,21.415,0.886
1889,5,1889.375,21.735,0.862
1889,6,1889.458,21.738,0.873
1889,7,1889.542,21.768,0.997
1889,8,1889.625,21.320,0.943
1890,4,1890.292,20.275,0.836
1890,7,1890.542,20.517,1.079
1890,8,1890.625,20.849,0.901
1891,4,1891.292,20.946,1.252
1891,5,1891.375,20.650,0.889
1891,6,1891.458,20.712,1.055
1891,7,1891.542,21.418,1.351
1891,8,1891.625,20.772,1.103
1892,1,1892.042,20.340,1.444
1892,2,1892.125,20.419,0.719
1892,3,1892.208,20.836,1.185
1892,4,1892.292,20.342,0.947
1892,5,1892.375,21.006,0.989
1892,6,1892.458,21.263,1.525
1892,7,1892.542,20.938,1.087
1892,8,1892.625,20.585,0.858
1892,9,1892.708,21.549,1.279
1892,10,1892.792,21.081,0.986
1892,11,1892.875,21.099,0.978
1892,12,1892.958,20.740,1.223
1893,1,1893.042,19.795,1.205
1893,2,1893.125,20.047,0.889
1893,3,1893.208,20.704,0.814
1893,4,1893.292,21.019,0.948
1893,5,1893.375,20.685,1.001
1893,6,1893.458,21.062,1.848
1893,7,1893.542,21.128,1.056
1893,8,1893.625,21.263,1.670
1893,9,1893.708,20.982,1.167
1893,10,1893.792,20.688,0.682
1893,11,1893.875,21.243,0.668
1893,12,1893.958,21.002,1.036
1894,1,1894.042,20.144,0.719
1894,2,1894.125,21.069,1.017
1894,3,1894.208,21.017,0.889
1894,4,1894.292,20.072,0.780
1894,5,1894.375,21.253,0.785
1894,6,1894.458,21.137,0.819
1894,7,1894.542,21.133,0.748
1894,8,1894.625,21.336,0.855
1894,9,1894.708,20.945,0.942
1894,10,1894.792,21.237,0.696
1894,11,1894.875,21.456,0.990
1894,12,1894.958,20.450,1.071
1895,1,1895.042,20.273,1.155
1895,2,1895.125,20.377,0.978
1895,3,1895.208,21.041,0.700
1895,4,1895.292,20.796,0.663
1895,5,1895.375,21.315,0.789
1895,6,1895.458,20.911,0.695
1895,7,1895.542,21.546,0.883
1895,8,1895.625,21.544,0.954
1895,9,1895.708,20.644,0.787
1895,10,1895.792,21.093,0.789
1895,11,1895.875,21.844,1.154
1895,12,1895.958,20.976,0.803
1896,1,1896.042,20.929,1.022
1896,2,1896.125,20.826,0.782
1896,3,1896.208,21.271,0.890
1896,4,1896.292,20.849,0.897
1896,5,1896.375,20.919,0.810
1896,6,1896.458,21.540,0.924
1896,7,1896.542,21.411,0.670
1896,8,1896.625,21.781,0.701
1896,9,1896.708,21.499,0.789
1896,10,1896.792,21.412,0.725
1896,11,1896.875,20.715,0.899
1896,12,1896.958,21.367,1.025
1897,1,1897.042,20.243,1.428
1897,2,1897.125,20.613,0.788
1897,3,1897.208,20.858,0.669
1897,4,1897.292,20.469,0.732
1897,5,1897.375,20.856,0.579
1897,6,1897.458,20.956,0.643
1897,7,1897.542,21.775,0.755
1897,8,1897.625,21.337,0.979
1897,9,1897.708,21.514,0.760
1897,10,1897.792,22.332,0.980
1897,11,1897.875,22.238,0.749
1897,12,1897.958,20.249,0.773
1898,1,1898.042,21.008,0.845
1898,2,1898.125,20.073,0.780
1898,3,1898.208,20.916,1.004
1898,4,1898.292,20.862,0.687
1898,5,1898.375,21.153,0.925
1898,6,1898.458,20.901,0.621
1898,7,1898.542,20.455,0.648
1898,8,1898.625,19.312,0.737
1898,9,1898.708,20.646,0.751
1898,10,1898.792,20.901,0.636
1898,11,1898.875,21.370,1.225
1898,12,1898.958,21.355,1.008
1899,1,1899.042,21.329,1.105
1899,2,1899.125,20.342,0.771
1899,3,1899.208,20.808,0.792
