# Monthly average temperature data for Zimbabwe.
# Original data from Berkeley Earth (https://www.berkeleyearth.org) licensed CC-BY-NC.
# Processed to remove NaNs, include decimal year, convert temperature anomaly to absolute temperature, CVS format with UTF-8 encoding.
# The year_decimal assumes every month is 1/12 of a year and assigns the datum to the middle of the month.
# Downloaded and processed: 2025-02-11
year,month,year_decimal,temperature_C,uncertainty_C
1885,1,1885.042,19.537,1.352
1885,2,1885.125,20.653,1.156
1885,3,1885.208,19.816,1.385
1885,4,1885.292,19.424,1.397
1885,5,1885.375,20.461,1.302
1885,6,1885.458,21.221,1.143
1885,7,1885.542,21.265,1.176
1885,8,1885.625,20.983,1.110
1885,9,1885.708,20.557,1.147
1885,10,1885.792,20.465,1.128
1885,11,1885.875,20.636,1.146
1885,12,1885.958,21.146,1.300
1886,1,1886.042,20.079,1.377
1886,2,1886.125,20.731,1.359
1886,3,1886.208,20.405,1.228
1886,4,1886.292,20.571,1.098
1886,5,1886.375,20.997,1.494
1886,6,1886.458,21.388,1.111
1886,7,1886.542,20.743,1.280
1886,8,1886.625,20.473,1.184
1886,9,1886.708,21.198,1.175
1886,10,1886.792,20.518,1.171
1886,11,1886.875,20.115,1.291
1886,12,1886.958,20.343,1.295
1887,1,1887.042,19.631,1.231
1887,2,1887.125,20.160,1.202
1887,3,1887.208,19.991,1.258
1887,4,1887.292,20.396,1.324
1887,5,1887.375,20.296,1.216
1887,6,1887.458,20.399,1.288
1887,7,1887.542,20.461,1.569
1887,8,1887.625,20.200,1.247
1887,9,1887.708,20.734,1.323
1887,10,1887.792,20.499,1.220
1887,11,1887.875,20.523,1.225
1887,12,1887.958,20.181,1.149
1888,1,1888.042,19.776,1.241
1888,2,1888.125,20.285,1.103
1888,3,1888.208,20.290,1.169
1888,4,1888.292,20.521,1.150
1888,5,1888.375,20.168,1.249
1888,6,1888.458,20.767,1.191
1888,7,1888.542,20.641,1.348
1888,8,1888.625,21.081,1.131
1888,10,1888.792,21.148,1.241
1888,11,1888.875,20.968,1.229
1888,12,1888.958,20.873,1.289
1889,1,1889.042,20.685,1.157
1889,2,1889.125,21.443,1.242
1889,3,1889.208,20.960,1.062
1889,4,1889.292,21.334,0.999
1889,5,1889.375,21.588,0.955
1889,6,1889.458,21.434,0.991
1889,7,1889.542,21.307,1.072
1889,8,1889.625,20.876,1.042
